method,stress_level,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
foundation_policy_only,0.000000,0.644594,0.002953,0.307629,0.003938,0.220502,0.000505,0.324069,0.001017,0.209560,0.001201,0.108584,0.000241,0.120174,0.000240,0.136856,0.000236,0.001729,0.000120,0.250799,0.000682,0.289269,0.000725,500
foundation_policy_only,0.180000,0.586760,0.003356,0.215389,0.004469,0.208154,0.000553,0.355635,0.001097,0.219161,0.001209,0.112343,0.000273,0.124922,0.000248,0.141887,0.000242,0.002552,0.000140,0.269437,0.000741,0.309619,0.000787,500
foundation_policy_only,0.320000,0.539251,0.003785,0.141086,0.005004,0.198549,0.000596,0.380186,0.001167,0.226628,0.001215,0.115312,0.000304,0.128650,0.000255,0.145800,0.000247,0.003226,0.000155,0.283959,0.000793,0.325472,0.000841,500
foundation_policy_only,0.460000,0.489529,0.004317,0.064544,0.005644,0.188945,0.000642,0.404737,0.001241,0.234095,0.001222,0.118321,0.000339,0.132409,0.000263,0.149714,0.000252,0.003918,0.000170,0.298505,0.000850,0.341349,0.000900,500
foundation_policy_only,0.600000,0.437596,0.004947,-0.014239,0.006385,0.179340,0.000691,0.429287,0.001320,0.241563,0.001229,0.121370,0.000378,0.136199,0.000272,0.153627,0.000257,0.004619,0.000184,0.313073,0.000911,0.357249,0.000963,500
foundation_policy_only,0.740000,0.383450,0.005672,-0.095260,0.007223,0.169736,0.000742,0.453838,0.001402,0.249030,0.001237,0.124459,0.000419,0.140020,0.000283,0.157540,0.000263,0.005323,0.000200,0.327665,0.000974,0.373172,0.001030,500
latency_optimized_switch,0.000000,0.712245,0.002323,0.738751,0.002900,0.613203,0.000506,0.110097,0.000466,0.103721,0.001192,0.040832,0.000217,0.164534,0.000230,0.061822,0.000228,0.041552,0.000184,0.099443,0.000526,0.110476,0.000466,500
latency_optimized_switch,0.180000,0.683896,0.002410,0.690609,0.003068,0.600855,0.000551,0.123285,0.000524,0.112624,0.001199,0.043006,0.000240,0.168869,0.000235,0.066522,0.000233,0.045174,0.000202,0.111870,0.000571,0.120871,0.000508,500
latency_optimized_switch,0.320000,0.661004,0.002506,0.652312,0.003240,0.591250,0.000592,0.133541,0.000575,0.119548,0.001205,0.044712,0.000263,0.172252,0.000239,0.070178,0.000236,0.047991,0.000218,0.121545,0.000612,0.128965,0.000546,500
latency_optimized_switch,0.460000,0.637374,0.002629,0.613268,0.003450,0.581646,0.000637,0.143798,0.000630,0.126472,0.001211,0.046431,0.000288,0.175646,0.000244,0.073834,0.000241,0.050808,0.000236,0.131228,0.000656,0.137067,0.000588,500
latency_optimized_switch,0.600000,0.613007,0.002784,0.573479,0.003697,0.572041,0.000685,0.154055,0.000688,0.133397,0.001217,0.048164,0.000316,0.179050,0.000249,0.077491,0.000245,0.053625,0.000255,0.140918,0.000703,0.145177,0.000633,500
latency_optimized_switch,0.740000,0.587903,0.002971,0.532943,0.003982,0.562437,0.000735,0.164312,0.000749,0.140321,0.001224,0.049910,0.000347,0.182465,0.000255,0.081147,0.000250,0.056442,0.000275,0.150616,0.000753,0.153294,0.000681,500
learned_residual_servoing,0.000000,0.726270,0.002388,0.764066,0.002944,0.639452,0.000502,0.104150,0.000425,0.086406,0.001188,0.034443,0.000219,0.221202,0.000229,0.055050,0.000241,0.049845,0.000186,0.096417,0.000517,0.098887,0.000452,500
learned_residual_servoing,0.180000,0.699844,0.002467,0.718433,0.003105,0.627103,0.000552,0.116602,0.000486,0.095280,0.001195,0.036541,0.000243,0.225510,0.000234,0.059737,0.000245,0.053703,0.000204,0.108764,0.000565,0.108877,0.000496,500
learned_residual_servoing,0.320000,0.678515,0.002553,0.682156,0.003266,0.617499,0.000596,0.126287,0.000540,0.102183,0.001201,0.038186,0.000265,0.228872,0.000238,0.063383,0.000249,0.056704,0.000219,0.118375,0.000607,0.116655,0.000535,500
learned_residual_servoing,0.460000,0.656507,0.002664,0.645192,0.003461,0.607894,0.000643,0.135972,0.000596,0.109085,0.001207,0.039843,0.000291,0.232243,0.000244,0.067028,0.000253,0.059705,0.000237,0.127994,0.000652,0.124439,0.000577,500
learned_residual_servoing,0.600000,0.633821,0.002802,0.607542,0.003691,0.598290,0.000693,0.145657,0.000656,0.115988,0.001213,0.041513,0.000318,0.235623,0.000249,0.070674,0.000257,0.062706,0.000256,0.137620,0.000701,0.132231,0.000622,500
learned_residual_servoing,0.740000,0.610457,0.002968,0.569205,0.003955,0.588685,0.000745,0.155342,0.000717,0.122890,0.001220,0.043195,0.000348,0.239014,0.000255,0.074320,0.000262,0.065706,0.000276,0.147253,0.000752,0.140030,0.000670,500
model_predictive_servoing,0.000000,0.692630,0.002179,0.735010,0.002726,0.651152,0.000508,0.086557,0.000395,0.086428,0.001195,0.032470,0.000218,0.294759,0.000231,0.047016,0.000228,0.060662,0.000193,0.096303,0.000516,0.087857,0.000441,500
model_predictive_servoing,0.180000,0.669675,0.002244,0.694016,0.002865,0.638804,0.000557,0.097539,0.000451,0.095247,0.001202,0.034420,0.000241,0.299019,0.000235,0.051677,0.000233,0.064993,0.000212,0.108494,0.000562,0.097039,0.000481,500
model_predictive_servoing,0.320000,0.651181,0.002314,0.661484,0.003004,0.629199,0.000601,0.106080,0.000501,0.102106,0.001208,0.035949,0.000263,0.302341,0.000239,0.055302,0.000238,0.068362,0.000229,0.117982,0.000603,0.104187,0.000517,500
model_predictive_servoing,0.460000,0.632126,0.002404,0.628384,0.003173,0.619595,0.000648,0.114622,0.000555,0.108965,0.001214,0.037488,0.000288,0.305671,0.000244,0.058927,0.000242,0.071730,0.000248,0.127476,0.000647,0.111340,0.000557,500
model_predictive_servoing,0.600000,0.612511,0.002516,0.594717,0.003372,0.609990,0.000697,0.123163,0.000611,0.115824,0.001220,0.039036,0.000315,0.309008,0.000249,0.062553,0.000247,0.075098,0.000269,0.136975,0.000694,0.118500,0.000600,500
model_predictive_servoing,0.740000,0.592335,0.002651,0.560483,0.003599,0.600386,0.000749,0.131704,0.000669,0.122683,0.001227,0.040595,0.000344,0.312354,0.000254,0.066178,0.000252,0.078467,0.000290,0.146481,0.000744,0.125666,0.000646,500
oracle_visual_servo_foundation_arbiter,0.000000,0.931869,0.002326,1.166182,0.002719,0.828643,0.000491,0.004764,0.000282,0.036962,0.001196,0.000403,0.000075,0.146987,0.000223,0.005093,0.000234,0.045370,0.000249,0.049915,0.000462,0.011569,0.000340,500
oracle_visual_servo_foundation_arbiter,0.180000,0.922349,0.002418,1.143238,0.002861,0.816294,0.000539,0.010472,0.000344,0.045580,0.001203,0.000988,0.000135,0.151059,0.000227,0.009659,0.000238,0.051591,0.000270,0.061325,0.000519,0.017366,0.000387,500
oracle_visual_servo_foundation_arbiter,0.320000,0.914381,0.002439,1.124644,0.002926,0.806690,0.000582,0.015011,0.000385,0.052287,0.001208,0.001653,0.000181,0.154233,0.000231,0.013212,0.000241,0.056430,0.000289,0.070371,0.000565,0.022046,0.000426,500
oracle_visual_servo_foundation_arbiter,0.460000,0.906222,0.002457,1.105781,0.002992,0.797085,0.000629,0.019550,0.000430,0.058994,0.001214,0.002465,0.000225,0.157411,0.000235,0.016765,0.000245,0.061269,0.000310,0.079501,0.000616,0.026810,0.000469,500
oracle_visual_servo_foundation_arbiter,0.600000,0.897915,0.002478,1.086713,0.003068,0.787481,0.000678,0.024090,0.000478,0.065701,0.001221,0.003389,0.000266,0.160590,0.000239,0.020318,0.000249,0.066107,0.000332,0.088697,0.000669,0.031640,0.000513,500
oracle_visual_servo_foundation_arbiter,0.740000,0.889460,0.002503,1.067465,0.003152,0.777876,0.000730,0.028629,0.000529,0.072408,0.001227,0.004372,0.000305,0.163771,0.000243,0.023871,0.000253,0.070946,0.000355,0.097927,0.000723,0.036504,0.000559,500
position_based_visual_servo,0.000000,0.560903,0.002309,0.487111,0.002974,0.480264,0.000518,0.147155,0.000526,0.140359,0.001194,0.068540,0.000210,0.148398,0.000232,0.092805,0.000242,0.021547,0.000152,0.144450,0.000527,0.157971,0.000506,500
position_based_visual_servo,0.180000,0.525128,0.002457,0.429656,0.003217,0.467915,0.000567,0.162731,0.000589,0.149352,0.001201,0.070985,0.000234,0.152837,0.000237,0.097548,0.000247,0.023870,0.000167,0.156419,0.000571,0.169698,0.000552,500
position_based_visual_servo,0.320000,0.496242,0.002613,0.383895,0.003459,0.458311,0.000610,0.174846,0.000645,0.156347,0.001207,0.072906,0.000258,0.156305,0.000242,0.101238,0.000251,0.025676,0.000181,0.165739,0.000611,0.178831,0.000592,500
position_based_visual_servo,0.460000,0.466426,0.002808,0.337193,0.003746,0.448707,0.000657,0.186961,0.000704,0.163342,0.001213,0.074843,0.000285,0.159785,0.000248,0.104927,0.000256,0.027482,0.000197,0.175069,0.000654,0.187972,0.000637,500
position_based_visual_servo,0.600000,0.435682,0.003045,0.289550,0.004080,0.439102,0.000706,0.199076,0.000766,0.170336,0.001220,0.076797,0.000315,0.163279,0.000254,0.108617,0.000261,0.029288,0.000214,0.184408,0.000701,0.197124,0.000684,500
position_based_visual_servo,0.740000,0.404008,0.003322,0.240968,0.004457,0.429498,0.000758,0.211191,0.000830,0.177331,0.001227,0.078768,0.000346,0.166785,0.000261,0.112306,0.000266,0.031095,0.000232,0.193757,0.000750,0.206285,0.000734,500
proposed_servo_foundation_arbiter_v4,0.000000,0.789482,0.002468,0.887782,0.003010,0.689952,0.000505,0.067529,0.000387,0.074609,0.001197,0.024296,0.000217,0.203584,0.000226,0.037006,0.000233,0.053163,0.000213,0.080938,0.000532,0.069580,0.000447,500
proposed_servo_foundation_arbiter_v4,0.180000,0.767317,0.002526,0.848137,0.003134,0.677604,0.000553,0.077775,0.000440,0.083400,0.001204,0.026190,0.000237,0.207832,0.000230,0.041654,0.000237,0.057966,0.000233,0.093385,0.000575,0.078368,0.000484,500
proposed_servo_foundation_arbiter_v4,0.320000,0.749506,0.002586,0.816722,0.003258,0.667999,0.000596,0.085745,0.000488,0.090238,0.001210,0.027673,0.000257,0.211145,0.000235,0.045269,0.000241,0.061702,0.000251,0.103073,0.000615,0.085209,0.000518,500
proposed_servo_foundation_arbiter_v4,0.460000,0.731192,0.002663,0.784799,0.003405,0.658395,0.000642,0.093715,0.000540,0.097075,0.001216,0.029166,0.000280,0.214464,0.000239,0.048883,0.000246,0.065438,0.000270,0.112765,0.000657,0.092055,0.000555,500
proposed_servo_foundation_arbiter_v4,0.600000,0.712378,0.002757,0.752369,0.003579,0.648790,0.000692,0.101684,0.000594,0.103912,0.001222,0.030667,0.000306,0.217791,0.000244,0.052498,0.000251,0.069174,0.000291,0.122463,0.000704,0.098906,0.000596,500
proposed_servo_foundation_arbiter_v4,0.740000,0.693061,0.002870,0.719432,0.003778,0.639186,0.000743,0.109654,0.000651,0.110750,0.001229,0.032178,0.000334,0.221124,0.000250,0.056113,0.000256,0.072910,0.000312,0.132166,0.000752,0.105762,0.000639,500
risk_sensitive_foundation_ensemble,0.000000,0.749071,0.002437,0.791346,0.003002,0.647758,0.000495,0.095036,0.000438,0.095811,0.001208,0.033667,0.000226,0.241608,0.000222,0.046208,0.000240,0.064853,0.000198,0.101450,0.000562,0.094540,0.000472,500
risk_sensitive_foundation_ensemble,0.180000,0.723772,0.002506,0.747099,0.003148,0.635409,0.000542,0.107120,0.000499,0.104671,0.001216,0.035723,0.000250,0.245901,0.000227,0.050889,0.000245,0.069420,0.000216,0.114569,0.000611,0.104324,0.000515,500
risk_sensitive_foundation_ensemble,0.320000,0.703353,0.002582,0.711935,0.003297,0.625805,0.000585,0.116519,0.000552,0.111563,0.001222,0.037335,0.000273,0.249250,0.000232,0.054530,0.000248,0.072972,0.000233,0.124781,0.000655,0.111943,0.000553,500
risk_sensitive_foundation_ensemble,0.460000,0.682285,0.002680,0.676113,0.003478,0.616200,0.000630,0.125918,0.000608,0.118455,0.001228,0.038959,0.000298,0.252608,0.000237,0.058170,0.000253,0.076524,0.000251,0.134999,0.000702,0.119568,0.000595,500
risk_sensitive_foundation_ensemble,0.600000,0.660568,0.002803,0.639635,0.003691,0.606596,0.000679,0.135317,0.000666,0.125346,0.001235,0.040595,0.000326,0.255975,0.000242,0.061811,0.000257,0.080077,0.000271,0.145224,0.000751,0.127199,0.000640,500
risk_sensitive_foundation_ensemble,0.740000,0.638203,0.002953,0.602500,0.003937,0.596991,0.000730,0.144717,0.000727,0.132238,0.001242,0.042242,0.000355,0.259351,0.000248,0.065452,0.000262,0.083629,0.000292,0.155456,0.000803,0.134838,0.000687,500
robust_mpc_handoff,0.000000,0.684465,0.002225,0.708790,0.002775,0.628417,0.000520,0.096537,0.000419,0.097632,0.001210,0.037041,0.000211,0.273613,0.000223,0.052324,0.000229,0.067012,0.000208,0.105644,0.000530,0.098719,0.000447,500
robust_mpc_handoff,0.180000,0.659170,0.002301,0.664692,0.002931,0.616069,0.000567,0.108438,0.000478,0.106485,0.001217,0.039086,0.000237,0.277905,0.000227,0.057001,0.000234,0.071579,0.000227,0.118666,0.000580,0.108407,0.000490,500
robust_mpc_handoff,0.320000,0.638771,0.002384,0.629660,0.003088,0.606464,0.000609,0.117694,0.000529,0.113372,0.001223,0.040690,0.000261,0.281254,0.000230,0.060639,0.000238,0.075131,0.000245,0.128803,0.000623,0.115950,0.000528,500
robust_mpc_handoff,0.460000,0.617738,0.002490,0.593986,0.003278,0.596860,0.000655,0.126950,0.000584,0.120258,0.001229,0.042305,0.000287,0.284611,0.000234,0.064277,0.000242,0.078683,0.000264,0.138946,0.000670,0.123500,0.000570,500
robust_mpc_handoff,0.600000,0.596071,0.002622,0.557671,0.003501,0.587255,0.000703,0.136206,0.000642,0.127144,0.001236,0.043932,0.000316,0.287978,0.000239,0.067915,0.000246,0.082236,0.000284,0.149095,0.000720,0.131056,0.000614,500
robust_mpc_handoff,0.740000,0.573770,0.002781,0.520713,0.003756,0.577651,0.000754,0.145463,0.000702,0.134030,0.001243,0.045570,0.000346,0.291353,0.000244,0.071553,0.000251,0.085788,0.000306,0.159251,0.000772,0.138619,0.000661,500
stability_calibrated_servo_foundation_arbiter_v5,0.000000,0.839227,0.002398,1.004968,0.002885,0.760656,0.000512,0.035743,0.000332,0.054975,0.001193,0.011534,0.000208,0.183403,0.000231,0.019687,0.000241,0.060605,0.000242,0.064550,0.000522,0.039485,0.000417,500
stability_calibrated_servo_foundation_arbiter_v5,0.180000,0.822810,0.002432,0.972821,0.002974,0.748308,0.000562,0.043785,0.000382,0.063682,0.001199,0.013198,0.000230,0.187571,0.000235,0.024295,0.000245,0.066236,0.000262,0.076919,0.000565,0.047055,0.000452,500
stability_calibrated_servo_foundation_arbiter_v5,0.320000,0.809671,0.002468,0.947443,0.003062,0.738703,0.000605,0.050039,0.000428,0.070454,0.001205,0.014499,0.000252,0.190818,0.000239,0.027879,0.000249,0.070615,0.000281,0.086543,0.000604,0.052946,0.000485,500
stability_calibrated_servo_foundation_arbiter_v5,0.460000,0.796206,0.002512,0.921736,0.003167,0.729099,0.000652,0.056294,0.000477,0.077226,0.001211,0.015806,0.000275,0.194070,0.000243,0.031463,0.000254,0.074994,0.000301,0.096171,0.000647,0.058841,0.000521,500
stability_calibrated_servo_foundation_arbiter_v5,0.600000,0.782418,0.002565,0.895701,0.003289,0.719494,0.000702,0.062548,0.000529,0.083998,0.001217,0.017118,0.000301,0.197326,0.000248,0.035047,0.000258,0.079373,0.000322,0.105802,0.000693,0.064740,0.000560,500
stability_calibrated_servo_foundation_arbiter_v5,0.740000,0.768305,0.002630,0.869337,0.003429,0.709890,0.000754,0.068802,0.000583,0.090770,0.001224,0.018437,0.000329,0.200587,0.000253,0.038631,0.000263,0.083752,0.000345,0.115437,0.000741,0.070641,0.000602,500
uncertainty_gated_foundation,0.000000,0.663288,0.002438,0.608910,0.003080,0.552119,0.000523,0.152098,0.000543,0.120150,0.001192,0.057747,0.000228,0.232151,0.000237,0.069756,0.000235,0.045080,0.000174,0.129806,0.000554,0.145489,0.000511,500
uncertainty_gated_foundation,0.180000,0.630734,0.002573,0.554225,0.003315,0.539771,0.000574,0.168226,0.000608,0.129165,0.001199,0.060165,0.000256,0.236545,0.000242,0.074510,0.000240,0.048348,0.000193,0.143333,0.000603,0.157472,0.000559,500
uncertainty_gated_foundation,0.320000,0.604301,0.002719,0.510566,0.003551,0.530166,0.000619,0.180770,0.000665,0.136176,0.001205,0.062066,0.000281,0.239978,0.000246,0.078207,0.000245,0.050889,0.000209,0.153865,0.000647,0.166804,0.000602,500
uncertainty_gated_foundation,0.460000,0.576895,0.002905,0.465922,0.003834,0.520562,0.000667,0.193314,0.000725,0.143187,0.001211,0.063985,0.000309,0.243424,0.000251,0.081904,0.000249,0.053430,0.000227,0.164407,0.000694,0.176146,0.000648,500
uncertainty_gated_foundation,0.600000,0.548516,0.003134,0.420293,0.004164,0.510957,0.000718,0.205858,0.000788,0.150198,0.001218,0.065921,0.000340,0.246885,0.000257,0.085601,0.000254,0.055972,0.000246,0.174960,0.000744,0.185497,0.000698,500
uncertainty_gated_foundation,0.740000,0.519163,0.003406,0.373679,0.004542,0.501353,0.000771,0.218401,0.000853,0.157209,0.001224,0.067874,0.000373,0.250359,0.000264,0.089299,0.000260,0.058513,0.000266,0.185523,0.000797,0.194860,0.000749,500
