method,stress_level,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,0.000000,0.640990,0.002320,0.624345,0.002959,0.579645,0.000511,0.119856,0.000498,0.111136,0.001200,0.046705,0.000232,0.253238,0.000227,0.063093,0.000228,0.063945,0.000179,0.119920,0.000563,0.120427,0.000499,500
cbf_safety_shield,0.180000,0.610938,0.002429,0.573744,0.003157,0.567297,0.000559,0.133962,0.000560,0.120073,0.001207,0.048963,0.000257,0.257597,0.000232,0.067811,0.000232,0.067804,0.000196,0.133174,0.000610,0.131322,0.000543,500
cbf_safety_shield,0.320000,0.586637,0.002547,0.533449,0.003356,0.557692,0.000602,0.144933,0.000614,0.127025,0.001213,0.050735,0.000280,0.261000,0.000237,0.071480,0.000235,0.070804,0.000213,0.143492,0.000652,0.139806,0.000583,500
cbf_safety_shield,0.460000,0.561525,0.002697,0.492333,0.003595,0.548088,0.000648,0.155905,0.000671,0.133976,0.001219,0.052522,0.000307,0.264415,0.000243,0.075148,0.000239,0.073805,0.000231,0.153818,0.000698,0.148299,0.000626,500
cbf_safety_shield,0.600000,0.535601,0.002881,0.450396,0.003874,0.538483,0.000697,0.166876,0.000732,0.140927,0.001225,0.054324,0.000335,0.267841,0.000248,0.078817,0.000243,0.076806,0.000250,0.164152,0.000746,0.156800,0.000672,500
cbf_safety_shield,0.740000,0.508867,0.003102,0.407639,0.004194,0.528879,0.000748,0.177848,0.000794,0.147879,0.001232,0.056140,0.000366,0.271278,0.000255,0.082486,0.000248,0.079807,0.000271,0.174496,0.000798,0.165309,0.000721,500
classical_ibvs_only,0.000000,0.535330,0.002203,0.493156,0.002819,0.500319,0.000505,0.123196,0.000469,0.125831,0.001190,0.062847,0.000222,0.156176,0.000238,0.085529,0.000241,0.024029,0.000161,0.127476,0.000496,0.138663,0.000482,500
classical_ibvs_only,0.180000,0.503986,0.002315,0.441758,0.003020,0.487970,0.000553,0.136751,0.000529,0.134747,0.001198,0.065096,0.000247,0.160553,0.000243,0.090236,0.000245,0.026587,0.000177,0.138663,0.000540,0.149283,0.000525,500
classical_ibvs_only,0.320000,0.478730,0.002434,0.400895,0.003219,0.478366,0.000596,0.147293,0.000582,0.141682,0.001204,0.066861,0.000270,0.163970,0.000248,0.093897,0.000250,0.028577,0.000193,0.147373,0.000580,0.157552,0.000564,500
classical_ibvs_only,0.460000,0.452708,0.002584,0.359255,0.003458,0.468761,0.000643,0.157836,0.000638,0.148617,0.001210,0.068640,0.000296,0.167397,0.000254,0.097559,0.000254,0.030567,0.000210,0.156091,0.000623,0.165829,0.000607,500
classical_ibvs_only,0.600000,0.425919,0.002768,0.316839,0.003736,0.459157,0.000692,0.168379,0.000697,0.155552,0.001216,0.070433,0.000325,0.170836,0.000260,0.101220,0.000259,0.032557,0.000228,0.164817,0.000669,0.174114,0.000652,500
classical_ibvs_only,0.740000,0.398363,0.002985,0.273647,0.004051,0.449552,0.000744,0.178921,0.000759,0.162487,0.001223,0.072239,0.000356,0.174284,0.000267,0.104881,0.000264,0.034547,0.000247,0.173551,0.000718,0.182407,0.000700,500
conformal_visual_abstention,0.000000,0.669907,0.002285,0.703500,0.002843,0.625715,0.000521,0.088490,0.000410,0.105574,0.001202,0.037079,0.000215,0.248620,0.000228,0.039076,0.000236,0.095390,0.000203,0.111963,0.000548,0.094241,0.000454,500
conformal_visual_abstention,0.180000,0.645893,0.002352,0.661110,0.002985,0.613366,0.000569,0.099839,0.000468,0.114406,0.001209,0.039070,0.000238,0.252894,0.000233,0.043744,0.000241,0.100312,0.000223,0.125172,0.000595,0.103626,0.000494,500
conformal_visual_abstention,0.320000,0.626542,0.002424,0.627458,0.003127,0.603762,0.000611,0.108666,0.000519,0.121276,0.001215,0.040630,0.000259,0.256228,0.000237,0.047374,0.000245,0.104140,0.000241,0.135452,0.000636,0.110933,0.000530,500
conformal_visual_abstention,0.460000,0.606600,0.002517,0.593209,0.003299,0.594157,0.000658,0.117494,0.000573,0.128146,0.001221,0.042201,0.000284,0.259570,0.000241,0.051005,0.000249,0.107968,0.000261,0.145738,0.000681,0.118247,0.000569,500
conformal_visual_abstention,0.600000,0.586069,0.002632,0.558363,0.003501,0.584553,0.000706,0.126321,0.000630,0.135016,0.001227,0.043783,0.000311,0.262921,0.000246,0.054635,0.000254,0.111795,0.000282,0.156031,0.000729,0.125566,0.000612,500
conformal_visual_abstention,0.740000,0.564948,0.002772,0.522920,0.003734,0.574948,0.000758,0.135148,0.000689,0.141886,0.001233,0.045375,0.000340,0.266280,0.000251,0.058265,0.000259,0.115623,0.000304,0.166329,0.000780,0.132891,0.000657,500
ensemble_risk_gate,0.000000,0.684662,0.002351,0.689508,0.002971,0.596177,0.000528,0.112694,0.000476,0.106334,0.001199,0.043750,0.000227,0.224825,0.000221,0.056152,0.000226,0.058270,0.000191,0.110962,0.000560,0.112969,0.000492,500
ensemble_risk_gate,0.180000,0.656619,0.002436,0.641359,0.003138,0.583828,0.000576,0.126249,0.000537,0.115251,0.001206,0.045939,0.000250,0.229156,0.000226,0.060859,0.000230,0.062364,0.000210,0.124230,0.000607,0.123554,0.000534,500
ensemble_risk_gate,0.320000,0.633931,0.002530,0.603022,0.003310,0.574224,0.000618,0.136792,0.000590,0.122186,0.001212,0.047658,0.000273,0.232537,0.000230,0.064520,0.000234,0.065549,0.000227,0.134559,0.000649,0.131796,0.000573,500
ensemble_risk_gate,0.460000,0.610476,0.002655,0.563909,0.003520,0.564619,0.000663,0.147334,0.000647,0.129121,0.001218,0.049391,0.000299,0.235928,0.000235,0.068182,0.000238,0.068733,0.000245,0.144896,0.000695,0.140046,0.000615,500
ensemble_risk_gate,0.600000,0.586255,0.002811,0.524020,0.003770,0.555015,0.000712,0.157877,0.000706,0.136056,0.001224,0.051137,0.000327,0.239330,0.000240,0.071843,0.000243,0.071918,0.000265,0.155241,0.000743,0.148304,0.000660,500
ensemble_risk_gate,0.740000,0.561266,0.003002,0.483355,0.004059,0.545410,0.000763,0.168419,0.000768,0.142991,0.001231,0.052897,0.000357,0.242743,0.000246,0.075504,0.000248,0.075102,0.000286,0.165594,0.000795,0.156571,0.000707,500
fixed_hybrid_switch,0.000000,0.636500,0.002394,0.563132,0.003058,0.523532,0.000525,0.171057,0.000570,0.124475,0.001181,0.061325,0.000224,0.180205,0.000228,0.084144,0.000239,0.030143,0.000168,0.141239,0.000544,0.160206,0.000518,500
fixed_hybrid_switch,0.180000,0.600169,0.002549,0.503362,0.003314,0.511183,0.000574,0.188839,0.000634,0.133552,0.001189,0.063906,0.000252,0.184652,0.000233,0.088928,0.000243,0.032820,0.000185,0.154859,0.000593,0.173097,0.000566,500
fixed_hybrid_switch,0.320000,0.570647,0.002719,0.455595,0.003575,0.501579,0.000617,0.202669,0.000691,0.140612,0.001195,0.065936,0.000278,0.188128,0.000237,0.092648,0.000246,0.034902,0.000201,0.165466,0.000636,0.183136,0.000609,500
fixed_hybrid_switch,0.460000,0.540020,0.002938,0.406709,0.003892,0.491974,0.000664,0.216500,0.000751,0.147672,0.001201,0.067987,0.000306,0.191620,0.000243,0.096368,0.000250,0.036984,0.000218,0.176084,0.000684,0.193186,0.000656,500
fixed_hybrid_switch,0.600000,0.508286,0.003207,0.356703,0.004265,0.482370,0.000713,0.230330,0.000815,0.154732,0.001208,0.070057,0.000338,0.195127,0.000249,0.100089,0.000254,0.039066,0.000236,0.186714,0.000734,0.203248,0.000706,500
fixed_hybrid_switch,0.740000,0.475447,0.003528,0.305577,0.004691,0.472765,0.000764,0.244160,0.000882,0.161792,0.001215,0.072147,0.000371,0.198650,0.000256,0.103809,0.000259,0.041148,0.000255,0.197355,0.000788,0.213322,0.000759,500
