method,split,seed,mean_success_rate,ci95_success_rate,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
cbf_safety_shield,clean_deployment,0,0.627211,0.018543,0.547488,0.002520,0.140496,0.002914,0.125823,0.004751,0.057124,0.000982,0.259173,0.000868,0.071509,0.001114,35,84
cbf_safety_shield,clean_deployment,1,0.632313,0.021320,0.548286,0.002512,0.140764,0.002927,0.125779,0.004782,0.056988,0.001052,0.258847,0.000922,0.071687,0.001131,35,84
cbf_safety_shield,clean_deployment,2,0.642177,0.016484,0.548169,0.002577,0.141374,0.002935,0.125520,0.004597,0.056773,0.000859,0.258702,0.000799,0.071871,0.001088,35,84
cbf_safety_shield,clean_deployment,3,0.636735,0.019937,0.547137,0.002420,0.141299,0.003082,0.125234,0.004575,0.056815,0.000867,0.259168,0.000887,0.071816,0.001072,35,84
cbf_safety_shield,clean_deployment,4,0.653061,0.022457,0.546563,0.002692,0.141223,0.003252,0.125177,0.004579,0.056659,0.000828,0.258729,0.001008,0.071989,0.001195,35,84
cbf_safety_shield,clean_deployment,5,0.626190,0.015753,0.545989,0.002540,0.141491,0.003454,0.125362,0.004588,0.057400,0.000828,0.258951,0.000906,0.071710,0.001324,35,84
cbf_safety_shield,clean_deployment,6,0.628571,0.017967,0.545872,0.002793,0.140729,0.003437,0.125734,0.004581,0.057493,0.000710,0.259110,0.001057,0.071644,0.001316,35,84
cbf_safety_shield,combined_stress,0,0.557483,0.024228,0.526722,0.002744,0.166865,0.003485,0.150499,0.004813,0.061569,0.001109,0.270735,0.001036,0.085687,0.001239,35,84
cbf_safety_shield,combined_stress,1,0.561905,0.022266,0.526140,0.002736,0.166098,0.003486,0.149952,0.004887,0.061579,0.001002,0.270869,0.001184,0.085617,0.001223,35,84
cbf_safety_shield,combined_stress,2,0.564626,0.022152,0.526473,0.002689,0.166359,0.003409,0.149904,0.004738,0.061486,0.000998,0.270334,0.001133,0.086020,0.001226,35,84
cbf_safety_shield,combined_stress,3,0.541156,0.020412,0.525890,0.002936,0.166621,0.003486,0.149399,0.004862,0.062128,0.001015,0.270747,0.001164,0.086194,0.001263,35,84
cbf_safety_shield,combined_stress,4,0.564966,0.019020,0.526223,0.002889,0.166882,0.003423,0.149351,0.004813,0.061385,0.001113,0.270687,0.001207,0.086140,0.001282,35,84
cbf_safety_shield,combined_stress,5,0.547959,0.024322,0.526556,0.002872,0.166800,0.003512,0.149289,0.004827,0.061663,0.001153,0.270807,0.001252,0.085394,0.001372,35,84
cbf_safety_shield,combined_stress,6,0.577211,0.023223,0.526431,0.002925,0.167405,0.003521,0.149484,0.004777,0.060845,0.001036,0.270235,0.001311,0.084888,0.001323,35,84
cbf_safety_shield,heldout_camera,0,0.587415,0.022207,0.538508,0.002891,0.152001,0.003820,0.136607,0.004778,0.059478,0.001015,0.264411,0.001175,0.077582,0.001176,35,84
cbf_safety_shield,heldout_camera,1,0.603741,0.021252,0.537918,0.002449,0.151914,0.003497,0.136312,0.004571,0.059533,0.000962,0.264422,0.001157,0.077975,0.001178,35,84
cbf_safety_shield,heldout_camera,2,0.608503,0.018982,0.538243,0.002454,0.151826,0.003240,0.136246,0.004550,0.059599,0.000866,0.264320,0.001117,0.077683,0.001179,35,84
cbf_safety_shield,heldout_camera,3,0.599320,0.022021,0.537652,0.002512,0.151396,0.003121,0.136624,0.004552,0.059709,0.001082,0.264815,0.001226,0.077842,0.001196,35,84
cbf_safety_shield,heldout_camera,4,0.604762,0.023466,0.537062,0.002493,0.151994,0.003128,0.136357,0.004719,0.059116,0.001127,0.263791,0.001127,0.077789,0.001116,35,84
cbf_safety_shield,heldout_camera,5,0.595578,0.021293,0.536930,0.002172,0.151906,0.003344,0.136291,0.004837,0.058546,0.001144,0.263829,0.001050,0.077725,0.001090,35,84
