method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,0,0.562767,0.002863,0.498258,0.003976,0.550532,0.000723,0.153190,0.000852,0.129312,0.001141,0.053630,0.000265,0.262173,0.000261,0.072654,0.000281,0.072711,0.000237,0.150312,0.000806,0.146163,0.000705,640
cbf_safety_shield,1,0.562175,0.002812,0.497644,0.003918,0.550395,0.000732,0.153256,0.000848,0.129315,0.001119,0.053526,0.000265,0.262188,0.000265,0.072562,0.000273,0.072703,0.000236,0.150289,0.000802,0.146119,0.000700,640
cbf_safety_shield,2,0.562569,0.002836,0.497941,0.003956,0.550101,0.000735,0.153138,0.000856,0.129345,0.001133,0.053555,0.000266,0.262239,0.000267,0.072749,0.000276,0.072788,0.000236,0.150305,0.000813,0.146119,0.000708,640
cbf_safety_shield,3,0.562614,0.002839,0.497979,0.003931,0.550272,0.000728,0.153326,0.000857,0.129309,0.001120,0.053581,0.000261,0.262135,0.000256,0.072509,0.000275,0.072812,0.000242,0.150404,0.000800,0.146173,0.000697,640
cbf_safety_shield,4,0.562550,0.002863,0.498003,0.003956,0.550398,0.000725,0.153171,0.000833,0.129262,0.001131,0.053573,0.000258,0.262285,0.000273,0.072748,0.000274,0.072786,0.000242,0.150346,0.000791,0.146127,0.000691,640
cbf_safety_shield,5,0.563748,0.002872,0.499231,0.004005,0.550100,0.000736,0.153144,0.000859,0.129139,0.001121,0.053503,0.000269,0.262237,0.000276,0.072629,0.000286,0.072754,0.000244,0.150285,0.000816,0.146025,0.000712,640
cbf_safety_shield,6,0.563381,0.002852,0.498654,0.003961,0.550371,0.000728,0.153336,0.000860,0.129255,0.001115,0.053744,0.000258,0.262171,0.000258,0.072709,0.000273,0.072709,0.000240,0.150432,0.000808,0.146297,0.000705,640
cbf_safety_shield,7,0.562956,0.002921,0.498193,0.004040,0.550338,0.000752,0.153423,0.000846,0.129330,0.001119,0.053637,0.000267,0.262207,0.000275,0.072645,0.000266,0.072765,0.000237,0.150475,0.000802,0.146281,0.000704,640
cbf_safety_shield,8,0.562715,0.002848,0.497992,0.003979,0.550193,0.000754,0.153288,0.000873,0.129535,0.001123,0.053549,0.000257,0.262228,0.000264,0.072614,0.000266,0.072780,0.000239,0.150425,0.000821,0.146205,0.000708,640
cbf_safety_shield,9,0.562651,0.002846,0.497941,0.003979,0.550290,0.000729,0.153404,0.000860,0.129249,0.001129,0.053587,0.000268,0.262197,0.000271,0.072599,0.000276,0.072864,0.000242,0.150383,0.000816,0.146217,0.000716,640
classical_ibvs_only,0,0.455982,0.002755,0.367249,0.003861,0.470991,0.000731,0.155286,0.000829,0.143599,0.001129,0.069373,0.000263,0.165211,0.000280,0.095065,0.000274,0.030308,0.000189,0.153470,0.000718,0.163477,0.000692,640
