method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,0.562813,0.000902,0.498183,0.001255,0.550299,0.000232,0.153268,0.000270,0.129305,0.000356,0.053589,0.000083,0.262206,0.000084,0.072642,0.000087,0.072767,0.000076,0.150366,0.000255,0.146173,0.000223,6400
classical_ibvs_only,0.455806,0.000877,0.367010,0.001227,0.471014,0.000232,0.155327,0.000263,0.143605,0.000354,0.069488,0.000083,0.165077,0.000085,0.095101,0.000087,0.030266,0.000062,0.153531,0.000228,0.163572,0.000219,6400
conformal_visual_abstention,0.608408,0.000812,0.598468,0.001124,0.596536,0.000232,0.116565,0.000232,0.123346,0.000356,0.043299,0.000079,0.257317,0.000083,0.048340,0.000087,0.106449,0.000090,0.142158,0.000254,0.116902,0.000202,6400
ensemble_risk_gate,0.611974,0.000881,0.569851,0.001223,0.567039,0.000232,0.145025,0.000262,0.124202,0.000357,0.050438,0.000082,0.233889,0.000084,0.065670,0.000086,0.067579,0.000079,0.141281,0.000256,0.138011,0.000219,6400
fixed_hybrid_switch,0.540478,0.001032,0.413688,0.001433,0.494418,0.000232,0.211703,0.000324,0.142575,0.000357,0.068722,0.000085,0.189489,0.000087,0.093658,0.000088,0.036675,0.000062,0.172229,0.000261,0.189701,0.000250,6400
foundation_policy_only,0.485157,0.001567,0.072849,0.002135,0.191604,0.000232,0.391992,0.000524,0.228820,0.000360,0.118775,0.000103,0.130065,0.000093,0.146924,0.000090,0.004539,0.000048,0.291905,0.000333,0.333833,0.000357,6400
latency_optimized_switch,0.639169,0.000887,0.619553,0.001225,0.584209,0.000233,0.141603,0.000258,0.121526,0.000355,0.047457,0.000082,0.173337,0.000084,0.071212,0.000086,0.049965,0.000073,0.128104,0.000244,0.135049,0.000216,6400
learned_residual_servoing,0.658127,0.000858,0.650648,0.001184,0.610153,0.000230,0.134338,0.000248,0.104250,0.000354,0.041087,0.000081,0.230084,0.000084,0.064261,0.000087,0.058762,0.000076,0.124982,0.000243,0.122815,0.000211,6400
model_predictive_servoing,0.632456,0.000780,0.632156,0.001090,0.622164,0.000233,0.113800,0.000228,0.104465,0.000356,0.038398,0.000080,0.303372,0.000082,0.056272,0.000086,0.070434,0.000082,0.124429,0.000242,0.110006,0.000201,6400
oracle_visual_servo_foundation_arbiter,0.905966,0.000716,1.106602,0.000921,0.799366,0.000231,0.021682,0.000160,0.054365,0.000353,0.003570,0.000067,0.155367,0.000081,0.014237,0.000085,0.058921,0.000106,0.076467,0.000234,0.027000,0.000161,6400
position_based_visual_servo,0.469149,0.000967,0.345132,0.001345,0.451357,0.000230,0.183660,0.000292,0.158462,0.000357,0.075985,0.000084,0.157439,0.000087,0.102305,0.000088,0.027461,0.000058,0.172312,0.000239,0.185505,0.000234,6400
proposed_servo_foundation_arbiter_v4,0.733221,0.000813,0.790041,0.001106,0.660942,0.000232,0.093204,0.000219,0.092280,0.000354,0.030202,0.000080,0.212157,0.000083,0.046303,0.000087,0.064028,0.000089,0.109566,0.000245,0.090891,0.000196,6400
risk_sensitive_foundation_ensemble,0.683723,0.000852,0.681342,0.001173,0.618526,0.000233,0.124474,0.000244,0.113636,0.000356,0.040025,0.000081,0.250291,0.000082,0.055684,0.000087,0.075266,0.000085,0.131530,0.000255,0.117985,0.000209,6400
robust_mpc_handoff,0.619507,0.000825,0.599558,0.001148,0.599376,0.000235,0.125504,0.000241,0.115329,0.000355,0.043523,0.000080,0.282405,0.000084,0.061775,0.000086,0.077215,0.000084,0.135519,0.000253,0.121977,0.000207,6400
stability_calibrated_servo_foundation_arbiter_v5,0.797410,0.000750,0.925200,0.001003,0.731390,0.000233,0.056839,0.000188,0.072638,0.000353,0.016890,0.000077,0.191867,0.000081,0.028953,0.000086,0.072954,0.000098,0.092905,0.000244,0.058271,0.000180,6400
uncertainty_gated_foundation,0.577907,0.000969,0.472729,0.001347,0.523189,0.000232,0.189433,0.000300,0.138334,0.000357,0.064886,0.000085,0.241093,0.000086,0.079267,0.000087,0.052751,0.000069,0.160591,0.000259,0.173263,0.000237,6400
