method,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,clean_deployment,0.641569,0.000895,0.624232,0.001363,0.576144,0.000338,0.118765,0.000350,0.110522,0.000374,0.047888,0.000101,0.252885,0.000102,0.062717,0.000108,0.064380,0.000109,0.119636,0.000334,0.120387,0.000288,6400
cbf_safety_shield,combined_stress,0.576902,0.001107,0.520700,0.001603,0.557100,0.000340,0.148480,0.000350,0.126906,0.000374,0.051248,0.000107,0.260942,0.000106,0.071384,0.000108,0.070632,0.000108,0.145303,0.000338,0.141763,0.000291,6400
cbf_safety_shield,heldout_camera,0.607655,0.000998,0.569805,0.001482,0.566116,0.000339,0.134495,0.000350,0.119198,0.000373,0.049593,0.000104,0.257140,0.000104,0.067286,0.000109,0.067712,0.000108,0.133199,0.000336,0.131657,0.000289,6400
cbf_safety_shield,heldout_object,0.624717,0.000943,0.596881,0.001422,0.570997,0.000338,0.126852,0.000351,0.114989,0.000376,0.048685,0.000103,0.255064,0.000102,0.065052,0.000109,0.066092,0.000108,0.126563,0.000336,0.126133,0.000289,6400
classical_ibvs_only,clean_deployment,0.536721,0.000882,0.494225,0.001352,0.496829,0.000340,0.121889,0.000341,0.124905,0.000373,0.063790,0.000102,0.155743,0.000103,0.085216,0.000108,0.024592,0.000085,0.127077,0.000296,0.138323,0.000283,6400
classical_ibvs_only,combined_stress,0.469956,0.001088,0.389359,0.001578,0.477732,0.000338,0.150743,0.000339,0.141248,0.000373,0.067187,0.000106,0.163854,0.000106,0.093798,0.000109,0.028466,0.000085,0.149111,0.000297,0.159283,0.000285,6400
classical_ibvs_only,heldout_camera,0.501556,0.000992,0.438983,0.001476,0.486764,0.000338,0.137113,0.000341,0.133436,0.000375,0.065597,0.000103,0.159985,0.000105,0.089752,0.000109,0.026659,0.000084,0.138693,0.000297,0.149372,0.000285,6400
classical_ibvs_only,heldout_object,0.518904,0.000939,0.465978,0.001416,0.491585,0.000340,0.129860,0.000341,0.129280,0.000375,0.064701,0.000102,0.157908,0.000104,0.087526,0.000108,0.025642,0.000085,0.133141,0.000296,0.144055,0.000284,6400
conformal_visual_abstention,clean_deployment,0.671198,0.000811,0.704031,0.001225,0.622350,0.000339,0.087744,0.000297,0.104791,0.000373,0.038133,0.000097,0.248233,0.000101,0.038603,0.000108,0.095887,0.000127,0.111512,0.000333,0.094237,0.000260,6400
conformal_visual_abstention,combined_stress,0.619119,0.000951,0.616948,0.001391,0.603320,0.000340,0.112550,0.000297,0.120988,0.000373,0.041074,0.000100,0.256129,0.000103,0.047122,0.000108,0.104052,0.000128,0.137180,0.000336,0.112946,0.000262,6400
conformal_visual_abstention,heldout_camera,0.643969,0.000877,0.658346,0.001305,0.612323,0.000337,0.100874,0.000295,0.113339,0.000372,0.039635,0.000100,0.252414,0.000102,0.043028,0.000107,0.100190,0.000128,0.125034,0.000334,0.104087,0.000260,6400
conformal_visual_abstention,heldout_object,0.657420,0.000840,0.680665,0.001262,0.617186,0.000338,0.094626,0.000297,0.109096,0.000374,0.038918,0.000098,0.250382,0.000100,0.040950,0.000108,0.098098,0.000129,0.118549,0.000333,0.099365,0.000261,6400
ensemble_risk_gate,clean_deployment,0.685923,0.000867,0.690191,0.001321,0.592706,0.000338,0.111549,0.000341,0.105490,0.000374,0.044834,0.000101,0.224693,0.000102,0.055801,0.000108,0.058724,0.000114,0.110531,0.000335,0.112800,0.000283,6400
ensemble_risk_gate,combined_stress,0.625010,0.001067,0.591181,0.001547,0.573745,0.000337,0.140353,0.000339,0.121834,0.000375,0.048101,0.000105,0.232678,0.000105,0.064411,0.000108,0.065349,0.000113,0.136231,0.000337,0.133665,0.000285,6400
ensemble_risk_gate,heldout_camera,0.653868,0.000968,0.637952,0.001441,0.582724,0.000339,0.126876,0.000341,0.114080,0.000376,0.046569,0.000104,0.228886,0.000104,0.060352,0.000108,0.062232,0.000113,0.124162,0.000337,0.123871,0.000285,6400
ensemble_risk_gate,heldout_object,0.669874,0.000926,0.663754,0.001389,0.587562,0.000339,0.119500,0.000339,0.109879,0.000374,0.045654,0.000102,0.226838,0.000102,0.058152,0.000108,0.060518,0.000113,0.117517,0.000335,0.118480,0.000283,6400
fixed_hybrid_switch,clean_deployment,0.637025,0.001001,0.563847,0.001536,0.520203,0.000338,0.169290,0.000424,0.123444,0.000376,0.062125,0.000108,0.179928,0.000105,0.083633,0.000110,0.030761,0.000087,0.140520,0.000343,0.159503,0.000328,6400
fixed_hybrid_switch,combined_stress,0.558513,0.001316,0.440897,0.001877,0.501152,0.000337,0.205972,0.000424,0.140138,0.000377,0.066246,0.000114,0.188181,0.000109,0.092400,0.000111,0.034824,0.000087,0.167095,0.000346,0.184752,0.000331,6400
fixed_hybrid_switch,heldout_camera,0.595664,0.001161,0.498992,0.001712,0.510147,0.000339,0.188700,0.000425,0.132252,0.000376,0.064328,0.000110,0.184302,0.000106,0.088194,0.000109,0.032935,0.000087,0.154553,0.000345,0.172856,0.000329,6400
fixed_hybrid_switch,heldout_object,0.616001,0.001085,0.530578,0.001628,0.515008,0.000338,0.179431,0.000424,0.127961,0.000375,0.063321,0.000111,0.182172,0.000105,0.086014,0.000110,0.031876,0.000086,0.147881,0.000343,0.166487,0.000328,6400
foundation_policy_only,clean_deployment,0.644282,0.001417,0.308511,0.002179,0.217465,0.000338,0.321071,0.000698,0.208646,0.000382,0.109388,0.000128,0.119648,0.000109,0.136392,0.000114,0.002498,0.000052,0.249610,0.000439,0.288012,0.000472,6400
foundation_policy_only,combined_stress,0.517325,0.002113,0.117194,0.002904,0.198267,0.000338,0.382606,0.000700,0.226293,0.000381,0.115760,0.000142,0.128587,0.000119,0.145596,0.000114,0.003256,0.000055,0.285286,0.000449,0.326783,0.000482,6400
