method,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
foundation_policy_only,heldout_camera,0.577281,0.001775,0.207588,0.002556,0.207373,0.000338,0.353519,0.000699,0.217881,0.000380,0.112806,0.000137,0.124318,0.000114,0.141224,0.000114,0.002867,0.000054,0.268474,0.000445,0.308471,0.000478,6400
foundation_policy_only,heldout_object,0.610083,0.001609,0.256700,0.002383,0.212204,0.000339,0.337909,0.000697,0.213407,0.000381,0.111180,0.000133,0.122078,0.000112,0.138902,0.000115,0.002669,0.000053,0.259437,0.000442,0.298633,0.000475,6400
latency_optimized_switch,clean_deployment,0.713267,0.000874,0.739441,0.001321,0.609968,0.000338,0.108919,0.000334,0.102763,0.000375,0.041904,0.000100,0.164060,0.000103,0.061317,0.000108,0.042060,0.000104,0.099052,0.000319,0.110230,0.000279,6400
latency_optimized_switch,combined_stress,0.652040,0.001067,0.640560,0.001543,0.590898,0.000338,0.137124,0.000332,0.119147,0.000374,0.045145,0.000105,0.172078,0.000105,0.069959,0.000108,0.047853,0.000104,0.123309,0.000322,0.130809,0.000282,6400
latency_optimized_switch,heldout_camera,0.681336,0.000974,0.687666,0.001439,0.599993,0.000338,0.123816,0.000333,0.111400,0.000374,0.043590,0.000103,0.168328,0.000103,0.065872,0.000108,0.045163,0.000104,0.111845,0.000321,0.121079,0.000281,6400
latency_optimized_switch,heldout_object,0.697103,0.000926,0.712959,0.001384,0.604794,0.000339,0.116682,0.000333,0.107242,0.000375,0.042798,0.000102,0.166195,0.000102,0.063701,0.000108,0.043651,0.000104,0.105699,0.000320,0.115890,0.000280,6400
learned_residual_servoing,clean_deployment,0.727107,0.000853,0.764267,0.001287,0.636018,0.000338,0.103141,0.000319,0.085538,0.000374,0.035668,0.000099,0.220863,0.000101,0.054434,0.000106,0.050451,0.000108,0.096084,0.000317,0.098811,0.000272,6400
learned_residual_servoing,combined_stress,0.670198,0.001025,0.670746,0.001486,0.616899,0.000338,0.130015,0.000318,0.101848,0.000374,0.038797,0.000103,0.228858,0.000105,0.063020,0.000108,0.056627,0.000108,0.120223,0.000320,0.118660,0.000274,6400
learned_residual_servoing,heldout_camera,0.697236,0.000938,0.715010,0.001387,0.625889,0.000338,0.117368,0.000319,0.094165,0.000372,0.037339,0.000102,0.225099,0.000103,0.058968,0.000108,0.053681,0.000108,0.108835,0.000319,0.109324,0.000273,6400
learned_residual_servoing,heldout_object,0.712236,0.000896,0.739357,0.001338,0.630855,0.000340,0.110579,0.000318,0.089978,0.000373,0.036507,0.000099,0.223039,0.000101,0.056786,0.000108,0.052120,0.000108,0.102718,0.000317,0.104269,0.000271,6400
model_predictive_servoing,clean_deployment,0.692690,0.000779,0.734414,0.001188,0.648049,0.000340,0.085789,0.000291,0.085937,0.000373,0.033365,0.000098,0.294361,0.000100,0.046589,0.000107,0.061064,0.000117,0.096024,0.000315,0.087822,0.000257,6400
model_predictive_servoing,combined_stress,0.642870,0.000920,0.650209,0.001355,0.628856,0.000339,0.109898,0.000289,0.102098,0.000374,0.036196,0.000101,0.302202,0.000102,0.055038,0.000107,0.068137,0.000117,0.119722,0.000317,0.106113,0.000259,6400
model_predictive_servoing,heldout_camera,0.666686,0.000844,0.690337,0.001268,0.637980,0.000340,0.098489,0.000290,0.094401,0.000374,0.034841,0.000098,0.298500,0.000101,0.051003,0.000107,0.064832,0.000117,0.108461,0.000315,0.097431,0.000257,6400
model_predictive_servoing,heldout_object,0.679565,0.000817,0.711970,0.001235,0.642810,0.000340,0.092356,0.000290,0.090289,0.000374,0.034106,0.000098,0.296455,0.000102,0.048834,0.000107,0.062991,0.000118,0.102413,0.000315,0.092766,0.000257,6400
oracle_visual_servo_foundation_arbiter,clean_deployment,0.931380,0.000678,1.163635,0.000913,0.825209,0.000340,0.005699,0.000152,0.036232,0.000371,0.001266,0.000050,0.146827,0.000097,0.004956,0.000093,0.045683,0.000154,0.050124,0.000267,0.012333,0.000164,6400
oracle_visual_servo_foundation_arbiter,combined_stress,0.909836,0.000738,1.116686,0.001016,0.806093,0.000339,0.019104,0.000193,0.052055,0.000371,0.002216,0.000066,0.154294,0.000098,0.013029,0.000106,0.056166,0.000153,0.072200,0.000298,0.024253,0.000192,6400
oracle_visual_servo_foundation_arbiter,heldout_camera,0.920499,0.000717,1.139796,0.000981,0.815126,0.000338,0.012269,0.000187,0.044544,0.000370,0.001727,0.000059,0.150724,0.000098,0.009085,0.000104,0.051199,0.000153,0.061495,0.000291,0.018326,0.000185,6400
oracle_visual_servo_foundation_arbiter,heldout_object,0.926190,0.000697,1.151966,0.000951,0.819985,0.000339,0.008854,0.000174,0.040495,0.000371,0.001472,0.000054,0.148827,0.000097,0.007022,0.000102,0.048524,0.000154,0.055813,0.000282,0.015277,0.000177,6400
position_based_visual_servo,clean_deployment,0.561798,0.000962,0.487599,0.001468,0.477127,0.000339,0.145850,0.000380,0.139620,0.000373,0.069805,0.000106,0.147977,0.000104,0.092364,0.000109,0.022302,0.000080,0.144183,0.000310,0.157837,0.000304,6400
position_based_visual_servo,combined_stress,0.485539,0.001226,0.370176,0.001754,0.458100,0.000338,0.178515,0.000381,0.156052,0.000374,0.073620,0.000110,0.156224,0.000107,0.101056,0.000109,0.025689,0.000080,0.167690,0.000313,0.180908,0.000308,6400
position_based_visual_servo,heldout_camera,0.521853,0.001099,0.425899,0.001618,0.467154,0.000339,0.163179,0.000379,0.148277,0.000376,0.071822,0.000107,0.152286,0.000106,0.096934,0.000109,0.024114,0.000080,0.156609,0.000310,0.170052,0.000305,6400
position_based_visual_servo,heldout_object,0.541495,0.001033,0.456056,0.001546,0.472025,0.000339,0.154843,0.000379,0.144107,0.000376,0.070819,0.000106,0.150193,0.000104,0.094742,0.000109,0.023187,0.000080,0.150611,0.000311,0.164157,0.000305,6400
proposed_servo_foundation_arbiter_v4,clean_deployment,0.790390,0.000819,0.888063,0.001204,0.686786,0.000340,0.066721,0.000274,0.073789,0.000373,0.025325,0.000097,0.203207,0.000100,0.036531,0.000107,0.053701,0.000126,0.080595,0.000319,0.069524,0.000249,6400
proposed_servo_foundation_arbiter_v4,combined_stress,0.742964,0.000926,0.807228,0.001339,0.667666,0.000339,0.089570,0.000275,0.089919,0.000373,0.028001,0.000099,0.210987,0.000102,0.045107,0.000107,0.061665,0.000127,0.104838,0.000321,0.087136,0.000251,6400
proposed_servo_foundation_arbiter_v4,heldout_camera,0.765588,0.000873,0.845723,0.001274,0.676726,0.000338,0.078704,0.000276,0.082280,0.000372,0.026720,0.000098,0.207281,0.000101,0.041049,0.000107,0.057854,0.000126,0.093360,0.000320,0.078765,0.000250,6400
proposed_servo_foundation_arbiter_v4,heldout_object,0.778043,0.000843,0.866600,0.001239,0.681626,0.000338,0.073027,0.000277,0.078131,0.000374,0.026030,0.000097,0.205290,0.000100,0.038885,0.000107,0.055895,0.000126,0.087205,0.000320,0.074338,0.000250,6400
risk_sensitive_foundation_ensemble,clean_deployment,0.749803,0.000851,0.791488,0.001272,0.644402,0.000340,0.094074,0.000311,0.095036,0.000374,0.034671,0.000099,0.241137,0.000101,0.045858,0.000109,0.065395,0.000122,0.101043,0.000332,0.094427,0.000268,6400
risk_sensitive_foundation_ensemble,combined_stress,0.695062,0.001002,0.700537,0.001453,0.625284,0.000339,0.120342,0.000311,0.111284,0.000373,0.037783,0.000103,0.249077,0.000103,0.054469,0.000108,0.072906,0.000123,0.126635,0.000335,0.113965,0.000270,6400
risk_sensitive_foundation_ensemble,heldout_camera,0.721111,0.000925,0.743724,0.001364,0.634267,0.000338,0.107886,0.000310,0.103562,0.000375,0.036312,0.000100,0.245352,0.000103,0.050381,0.000107,0.069352,0.000122,0.114509,0.000333,0.104698,0.000268,6400
risk_sensitive_foundation_ensemble,heldout_object,0.735532,0.000884,0.767279,0.001316,0.639243,0.000338,0.101338,0.000310,0.099407,0.000374,0.035560,0.000100,0.243288,0.000102,0.048236,0.000107,0.067427,0.000121,0.108089,0.000332,0.099819,0.000268,6400
robust_mpc_handoff,clean_deployment,0.685812,0.000819,0.709702,0.001246,0.625212,0.000339,0.095430,0.000309,0.096671,0.000373,0.038178,0.000098,0.273243,0.000101,0.051886,0.000108,0.067384,0.000122,0.105200,0.000331,0.098557,0.000266,6400
robust_mpc_handoff,combined_stress,0.631114,0.000980,0.619075,0.001434,0.606052,0.000340,0.121317,0.000308,0.112909,0.000374,0.041261,0.000102,0.281164,0.000104,0.060524,0.000107,0.074884,0.000121,0.130570,0.000333,0.117898,0.000268,6400
robust_mpc_handoff,heldout_camera,0.657017,0.000905,0.661938,0.001350,0.615117,0.000338,0.109119,0.000309,0.105283,0.000374,0.039798,0.000101,0.277425,0.000103,0.056376,0.000109,0.071351,0.000122,0.118583,0.000332,0.108770,0.000268,6400
robust_mpc_handoff,heldout_object,0.671360,0.000859,0.685342,0.001295,0.619994,0.000340,0.102612,0.000308,0.101083,0.000375,0.039078,0.000100,0.275412,0.000102,0.054215,0.000108,0.069417,0.000122,0.112163,0.000332,0.103916,0.000267,6400
stability_calibrated_servo_foundation_arbiter_v5,clean_deployment,0.840021,0.000764,1.005071,0.001098,0.757126,0.000339,0.034821,0.000234,0.054393,0.000372,0.012495,0.000092,0.183104,0.000099,0.019191,0.000106,0.060863,0.000142,0.064018,0.000317,0.039382,0.000226,6400
stability_calibrated_servo_foundation_arbiter_v5,combined_stress,0.804487,0.000815,0.939272,0.001173,0.738071,0.000339,0.053717,0.000234,0.070331,0.000371,0.014800,0.000095,0.190721,0.000100,0.027733,0.000107,0.070312,0.000143,0.088226,0.000319,0.054833,0.000228,6400
stability_calibrated_servo_foundation_arbiter_v5,heldout_camera,0.821400,0.000789,0.970531,0.001136,0.747216,0.000338,0.044800,0.000233,0.062779,0.000372,0.013721,0.000093,0.187143,0.000100,0.023657,0.000107,0.065848,0.000143,0.076782,0.000318,0.047532,0.000226,6400
stability_calibrated_servo_foundation_arbiter_v5,heldout_object,0.830858,0.000777,0.987618,0.001117,0.751976,0.000339,0.040063,0.000233,0.058707,0.000372,0.013118,0.000094,0.185171,0.000099,0.021533,0.000106,0.063395,0.000143,0.070670,0.000318,0.043630,0.000227,6400
uncertainty_gated_foundation,clean_deployment,0.664305,0.000943,0.609824,0.001446,0.548947,0.000340,0.150598,0.000390,0.119379,0.000376,0.058720,0.000106,0.231730,0.000103,0.069329,0.000109,0.045599,0.000097,0.129258,0.000341,0.145087,0.000310,6400
uncertainty_gated_foundation,combined_stress,0.593587,0.001207,0.497217,0.001736,0.529907,0.000339,0.184176,0.000389,0.135850,0.000376,0.062442,0.000110,0.239860,0.000107,0.078019,0.000109,0.050734,0.000097,0.155483,0.000343,0.168551,0.000312,6400
uncertainty_gated_foundation,heldout_camera,0.627561,0.001074,0.550965,0.001593,0.538915,0.000337,0.168339,0.000390,0.128091,0.000376,0.060695,0.000109,0.236012,0.000104,0.073866,0.000109,0.048328,0.000098,0.143085,0.000342,0.157482,0.000312,6400
uncertainty_gated_foundation,heldout_object,0.645576,0.001007,0.579736,0.001520,0.543861,0.000340,0.159795,0.000391,0.123825,0.000376,0.059669,0.000107,0.233944,0.000104,0.071655,0.000110,0.046990,0.000097,0.136358,0.000342,0.151449,0.000311,6400
