variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5583,0.4417,0.0289
observed_only_behavior_clone,nominal,1,600,0.5883,0.4117,0.0040
observed_only_behavior_clone,nominal,2,600,0.5950,0.4050,0.0069
observed_only_behavior_clone,nominal,3,600,0.5367,0.4633,0.0469
observed_only_behavior_clone,nominal,4,600,0.5583,0.4417,0.0209
observed_only_behavior_clone,nominal,5,600,0.6050,0.3950,0.0110
observed_only_behavior_clone,nominal,6,600,0.5617,0.4383,0.0192
observed_only_behavior_clone,hidden_mode_shift,0,600,0.3917,0.6083,0.0159
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4583,0.5417,0.0537
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4300,0.5700,0.0216
observed_only_behavior_clone,hidden_mode_shift,3,600,0.3800,0.6200,0.0238
observed_only_behavior_clone,hidden_mode_shift,4,600,0.3950,0.6050,0.0045
observed_only_behavior_clone,hidden_mode_shift,5,600,0.4417,0.5583,0.0274
observed_only_behavior_clone,hidden_mode_shift,6,600,0.3983,0.6017,0.0028
observed_only_behavior_clone,embodiment_shift,0,600,0.4617,0.5383,0.0215
observed_only_behavior_clone,embodiment_shift,1,600,0.4267,0.5733,0.0106
observed_only_behavior_clone,embodiment_shift,2,600,0.4250,0.5750,0.0160
observed_only_behavior_clone,embodiment_shift,3,600,0.4250,0.5750,0.0114
observed_only_behavior_clone,embodiment_shift,4,600,0.4100,0.5900,0.0221
observed_only_behavior_clone,embodiment_shift,5,600,0.4267,0.5733,0.0202
observed_only_behavior_clone,embodiment_shift,6,600,0.4050,0.5950,0.0288
observed_only_behavior_clone,combined_stress,0,600,0.3067,0.6933,0.0159
observed_only_behavior_clone,combined_stress,1,600,0.3117,0.6883,0.0080
observed_only_behavior_clone,combined_stress,2,600,0.3167,0.6833,0.0068
observed_only_behavior_clone,combined_stress,3,600,0.3483,0.6517,0.0295
observed_only_behavior_clone,combined_stress,4,600,0.2867,0.7133,0.0279
observed_only_behavior_clone,combined_stress,5,600,0.3400,0.6600,0.0107
observed_only_behavior_clone,combined_stress,6,600,0.3083,0.6917,0.0078
data_augmentation_wam,nominal,0,600,0.6300,0.3700,0.0063
data_augmentation_wam,nominal,1,600,0.6467,0.3533,0.0018
data_augmentation_wam,nominal,2,600,0.6367,0.3633,0.0056
data_augmentation_wam,nominal,3,600,0.6033,0.3967,0.0279
data_augmentation_wam,nominal,4,600,0.6367,0.3633,0.0012
data_augmentation_wam,nominal,5,600,0.6483,0.3517,0.0101
data_augmentation_wam,nominal,6,600,0.6733,0.3267,0.0353
data_augmentation_wam,hidden_mode_shift,0,600,0.4817,0.5183,0.0044
data_augmentation_wam,hidden_mode_shift,1,600,0.5000,0.5000,0.0054
data_augmentation_wam,hidden_mode_shift,2,600,0.5217,0.4783,0.0409
data_augmentation_wam,hidden_mode_shift,3,600,0.4833,0.5167,0.0024
data_augmentation_wam,hidden_mode_shift,4,600,0.4783,0.5217,0.0092
data_augmentation_wam,hidden_mode_shift,5,600,0.4617,0.5383,0.0263
data_augmentation_wam,hidden_mode_shift,6,600,0.4917,0.5083,0.0040
data_augmentation_wam,embodiment_shift,0,600,0.5150,0.4850,0.0016
data_augmentation_wam,embodiment_shift,1,600,0.5700,0.4300,0.0480
data_augmentation_wam,embodiment_shift,2,600,0.5417,0.4583,0.0335
data_augmentation_wam,embodiment_shift,3,600,0.5050,0.4950,0.0033
data_augmentation_wam,embodiment_shift,4,600,0.4900,0.5100,0.0249
data_augmentation_wam,embodiment_shift,5,600,0.4850,0.5150,0.0304
data_augmentation_wam,embodiment_shift,6,600,0.4900,0.5100,0.0251
data_augmentation_wam,combined_stress,0,600,0.4183,0.5817,0.0033
data_augmentation_wam,combined_stress,1,600,0.4167,0.5833,0.0069
data_augmentation_wam,combined_stress,2,600,0.4267,0.5733,0.0169
data_augmentation_wam,combined_stress,3,600,0.4117,0.5883,0.0018
data_augmentation_wam,combined_stress,4,600,0.4350,0.5650,0.0185
data_augmentation_wam,combined_stress,5,600,0.4133,0.5867,0.0036
data_augmentation_wam,combined_stress,6,600,0.4500,0.5500,0.0333
scalar_uncertainty_planner,nominal,0,600,0.6750,0.3250,0.0127
scalar_uncertainty_planner,nominal,1,600,0.6733,0.3267,0.0018
scalar_uncertainty_planner,nominal,2,600,0.6683,0.3317,0.0121
scalar_uncertainty_planner,nominal,3,600,0.6833,0.3167,0.0145
scalar_uncertainty_planner,nominal,4,600,0.6667,0.3333,0.0196
scalar_uncertainty_planner,nominal,5,600,0.6817,0.3183,0.0038
scalar_uncertainty_planner,nominal,6,600,0.6600,0.3400,0.0125
scalar_uncertainty_planner,hidden_mode_shift,0,600,0.5983,0.4017,0.0321
scalar_uncertainty_planner,hidden_mode_shift,1,600,0.5400,0.4600,0.0100
scalar_uncertainty_planner,hidden_mode_shift,2,600,0.5383,0.4617,0.0206
scalar_uncertainty_planner,hidden_mode_shift,3,600,0.5417,0.4583,0.0057
scalar_uncertainty_planner,hidden_mode_shift,4,600,0.5283,0.4717,0.0365
scalar_uncertainty_planner,hidden_mode_shift,5,600,0.5850,0.4150,0.0287
scalar_uncertainty_planner,hidden_mode_shift,6,600,0.5317,0.4683,0.0193
scalar_uncertainty_planner,embodiment_shift,0,600,0.5633,0.4367,0.0249
scalar_uncertainty_planner,embodiment_shift,1,600,0.5583,0.4417,0.0137
scalar_uncertainty_planner,embodiment_shift,2,600,0.5750,0.4250,0.0059
scalar_uncertainty_planner,embodiment_shift,3,600,0.5817,0.4183,0.0123
scalar_uncertainty_planner,embodiment_shift,4,600,0.5717,0.4283,0.0151
