risk_budget,method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,mean_accepted,ci95_accepted,mean_breach,ci95_breach,mean_gated_success,ci95_gated_success,mean_gated_utility,ci95_gated_utility,n
0.050000,cbf_safety_shield,0,0.613403,0.007229,0.578774,0.011001,0.567184,0.002425,0.131646,0.002799,0.118144,0.002556,0.049189,0.000687,0.256445,0.000827,0.066932,0.000846,0.067359,0.000804,0.131015,0.002595,0.129759,0.002215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,1,0.612410,0.007427,0.577882,0.011148,0.568097,0.002383,0.132123,0.002753,0.118111,0.002540,0.049149,0.000713,0.256275,0.000787,0.066663,0.000891,0.067115,0.000794,0.131009,0.002619,0.129909,0.002204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,2,0.612769,0.007195,0.577950,0.010953,0.567844,0.002445,0.132037,0.002808,0.118042,0.002569,0.049487,0.000683,0.256561,0.000787,0.066852,0.000879,0.067276,0.000777,0.131258,0.002623,0.130083,0.002207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,3,0.612974,0.007300,0.578381,0.011074,0.567568,0.002460,0.131927,0.002782,0.117890,0.002547,0.049342,0.000708,0.256411,0.000748,0.066544,0.000813,0.067000,0.000770,0.130974,0.002603,0.129857,0.002219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,4,0.612192,0.007336,0.577359,0.011090,0.567619,0.002338,0.132374,0.002785,0.117990,0.002562,0.049146,0.000700,0.256397,0.000791,0.066517,0.000818,0.067179,0.000789,0.131185,0.002573,0.129975,0.002205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,5,0.613088,0.007335,0.578407,0.011040,0.567414,0.002375,0.131977,0.002718,0.117522,0.002547,0.049412,0.000668,0.256487,0.000818,0.066731,0.000861,0.067081,0.000779,0.131121,0.002535,0.129875,0.002155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,6,0.612263,0.007247,0.577542,0.011016,0.567486,0.002432,0.131967,0.002759,0.118000,0.002531,0.049353,0.000665,0.256254,0.000810,0.066726,0.000866,0.067371,0.000749,0.131152,0.002571,0.129939,0.002184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,7,0.612167,0.007430,0.577336,0.011230,0.567388,0.002389,0.132078,0.002826,0.117661,0.002560,0.049386,0.000708,0.256587,0.000841,0.066805,0.000835,0.067136,0.000775,0.131165,0.002643,0.129952,0.002240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,8,0.612004,0.007146,0.577263,0.010874,0.567835,0.002423,0.132053,0.002808,0.118138,0.002537,0.049434,0.000688,0.256408,0.000807,0.066603,0.000822,0.067266,0.000772,0.131287,0.002575,0.130036,0.002197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,cbf_safety_shield,9,0.611463,0.007341,0.576395,0.011117,0.567683,0.002451,0.132363,0.002851,0.117523,0.002576,0.049802,0.000700,0.256359,0.000814,0.066773,0.000840,0.067179,0.000779,0.131448,0.002611,0.130294,0.002222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
