risk_budget,method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,mean_accepted,ci95_accepted,mean_breach,ci95_breach,mean_gated_success,ci95_gated_success,mean_gated_utility,ci95_gated_utility,n
0.050000,conformal_visual_abstention,0,0.648125,0.006216,0.664993,0.009521,0.613594,0.002358,0.098903,0.002353,0.112494,0.002527,0.039616,0.000666,0.251636,0.000825,0.042334,0.000851,0.099665,0.000939,0.123303,0.002559,0.102820,0.001975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,1,0.648625,0.006221,0.665689,0.009593,0.613453,0.002415,0.098755,0.002413,0.112150,0.002537,0.039433,0.000633,0.251900,0.000742,0.042399,0.000871,0.099473,0.000954,0.123061,0.002590,0.102578,0.001995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,2,0.646678,0.006230,0.663749,0.009570,0.613947,0.002443,0.098900,0.002331,0.112157,0.002586,0.039525,0.000627,0.251779,0.000769,0.042483,0.000829,0.099604,0.000950,0.123217,0.002551,0.102718,0.001952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,3,0.646981,0.006267,0.663922,0.009649,0.613388,0.002464,0.098853,0.002376,0.112126,0.002575,0.039543,0.000618,0.251878,0.000776,0.042268,0.000866,0.099710,0.000955,0.123028,0.002593,0.102660,0.001970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,4,0.647629,0.006388,0.665014,0.009766,0.614026,0.002413,0.098760,0.002401,0.111890,0.002524,0.039319,0.000630,0.251811,0.000829,0.042480,0.000863,0.099488,0.000929,0.122826,0.002587,0.102472,0.001982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,5,0.647847,0.006388,0.664899,0.009703,0.613702,0.002425,0.098999,0.002348,0.111610,0.002518,0.039545,0.000644,0.251652,0.000804,0.042658,0.000831,0.099399,0.000925,0.123026,0.002560,0.102689,0.001957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,6,0.647765,0.006214,0.665183,0.009549,0.614245,0.002379,0.098790,0.002345,0.112116,0.002555,0.039544,0.000659,0.251471,0.000782,0.042058,0.000856,0.099609,0.000963,0.123216,0.002588,0.102591,0.001984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,7,0.647502,0.006129,0.664397,0.009446,0.613377,0.002477,0.098769,0.002310,0.112232,0.002535,0.039506,0.000614,0.252048,0.000811,0.042527,0.000793,0.099656,0.000928,0.123154,0.002549,0.102669,0.001936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,8,0.649194,0.006401,0.666594,0.009664,0.613857,0.002348,0.098774,0.002357,0.111873,0.002510,0.039284,0.000648,0.251727,0.000805,0.042310,0.000825,0.099450,0.000943,0.122907,0.002561,0.102424,0.001953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,conformal_visual_abstention,9,0.648146,0.006272,0.665161,0.009681,0.613829,0.002496,0.099168,0.002404,0.111650,0.002540,0.039271,0.000652,0.251886,0.000795,0.042783,0.000837,0.099580,0.000957,0.123031,0.002602,0.102642,0.001992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,0,0.657744,0.006921,0.644606,0.010559,0.583920,0.002356,0.124599,0.002700,0.113124,0.002504,0.046228,0.000674,0.228327,0.000803,0.059952,0.000875,0.061671,0.000801,0.121937,0.002574,0.122299,0.002150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,1,0.658091,0.007000,0.645197,0.010651,0.584206,0.002368,0.124420,0.002700,0.113041,0.002595,0.046385,0.000657,0.228306,0.000839,0.059666,0.000864,0.061666,0.000809,0.122053,0.002587,0.122234,0.002151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,2,0.657667,0.006863,0.644723,0.010535,0.584416,0.002395,0.124553,0.002720,0.112924,0.002507,0.046511,0.000666,0.228213,0.000808,0.059680,0.000826,0.061763,0.000824,0.122359,0.002612,0.122347,0.002156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,3,0.658932,0.006853,0.646222,0.010586,0.584390,0.002436,0.124453,0.002729,0.112674,0.002530,0.046321,0.000691,0.228537,0.000803,0.059444,0.000832,0.061637,0.000813,0.121966,0.002577,0.122091,0.002172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,4,0.658404,0.006970,0.645240,0.010640,0.583955,0.002441,0.124456,0.002718,0.112994,0.002527,0.046592,0.000687,0.228250,0.000808,0.059956,0.000816,0.061755,0.000800,0.122289,0.002585,0.122413,0.002155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,5,0.660088,0.006889,0.647200,0.010499,0.584635,0.002422,0.124737,0.002661,0.112869,0.002522,0.046368,0.000665,0.228155,0.000821,0.059578,0.000848,0.061899,0.000788,0.122230,0.002560,0.122323,0.002111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,6,0.657861,0.007121,0.644696,0.010843,0.584503,0.002457,0.124810,0.002768,0.113194,0.002544,0.046395,0.000694,0.228328,0.000823,0.059781,0.000848,0.061736,0.000853,0.122506,0.002610,0.122481,0.002181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,7,0.658860,0.007210,0.646168,0.010885,0.584637,0.002347,0.124563,0.002711,0.112805,0.002572,0.046206,0.000661,0.228188,0.000774,0.059730,0.000818,0.061788,0.000816,0.122042,0.002576,0.122158,0.002155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,8,0.659908,0.006948,0.646924,0.010632,0.583999,0.002391,0.124642,0.002685,0.112860,0.002578,0.046255,0.000683,0.228173,0.000802,0.059640,0.000832,0.061794,0.000825,0.122087,0.002617,0.122220,0.002165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,ensemble_risk_gate,9,0.658714,0.007031,0.645964,0.010730,0.584138,0.002447,0.124335,0.002713,0.112578,0.002572,0.046413,0.000697,0.228223,0.000810,0.059773,0.000866,0.061694,0.000820,0.122057,0.002600,0.122127,0.002169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,0,0.586191,0.013374,0.221589,0.019531,0.208868,0.002377,0.348732,0.005691,0.216913,0.002636,0.111941,0.000926,0.123520,0.000893,0.140604,0.000905,0.002691,0.000328,0.265604,0.003462,0.305347,0.003769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,1,0.586579,0.013258,0.222079,0.019345,0.208887,0.002362,0.348487,0.005657,0.216491,0.002573,0.112390,0.000944,0.123651,0.000852,0.140367,0.000892,0.002699,0.000325,0.265677,0.003453,0.305354,0.003750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,2,0.586641,0.013377,0.221755,0.019521,0.209021,0.002405,0.348867,0.005631,0.216756,0.002611,0.112264,0.000980,0.123783,0.000923,0.140786,0.000900,0.002968,0.000346,0.265729,0.003473,0.305597,0.003768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,3,0.587779,0.013187,0.223031,0.019256,0.208840,0.002430,0.348853,0.005622,0.216352,0.002590,0.112373,0.000902,0.123636,0.000905,0.140417,0.000845,0.002711,0.000322,0.265869,0.003446,0.305498,0.003703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,4,0.586962,0.013094,0.222504,0.019241,0.208301,0.002466,0.348313,0.005672,0.216247,0.002643,0.112174,0.000945,0.123704,0.000851,0.140580,0.000887,0.002817,0.000358,0.265370,0.003473,0.305130,0.003757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,5,0.586916,0.013307,0.222595,0.019444,0.209356,0.002462,0.348473,0.005656,0.216739,0.002648,0.112144,0.000957,0.123582,0.000874,0.140600,0.000868,0.002831,0.000319,0.265530,0.003491,0.305301,0.003762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,6,0.587732,0.013213,0.223271,0.019340,0.209087,0.002448,0.348848,0.005613,0.216346,0.002609,0.111932,0.000914,0.123447,0.000906,0.140646,0.000934,0.002943,0.000326,0.265568,0.003463,0.305280,0.003735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,7,0.586963,0.013143,0.221820,0.019259,0.208686,0.002368,0.349083,0.005649,0.216904,0.002645,0.112404,0.000937,0.123567,0.000881,0.140470,0.000929,0.002773,0.000367,0.266009,0.003498,0.305758,0.003764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,8,0.588270,0.013119,0.223279,0.019209,0.209078,0.002405,0.348766,0.005641,0.216879,0.002615,0.112664,0.000903,0.123476,0.000897,0.140893,0.000895,0.002812,0.000321,0.266107,0.003448,0.305827,0.003724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,foundation_policy_only,9,0.587418,0.013272,0.222640,0.019394,0.208739,0.002467,0.348786,0.005681,0.216503,0.002589,0.112262,0.000908,0.123741,0.000809,0.140615,0.000924,0.002565,0.000339,0.265782,0.003480,0.305471,0.003740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,oracle_visual_servo_foundation_arbiter,0,0.921810,0.004818,1.143006,0.006870,0.816999,0.002448,0.011337,0.001390,0.043324,0.002487,0.001686,0.000409,0.150403,0.000773,0.008662,0.000798,0.050449,0.001170,0.059833,0.002232,0.017510,0.001369,0.262500,0.068392,0.000000,0.000000,0.248381,0.064740,0.275112,0.084729,160
0.050000,oracle_visual_servo_foundation_arbiter,1,0.921949,0.004564,1.143295,0.006604,0.816860,0.002322,0.011337,0.001387,0.043272,0.002565,0.001521,0.000356,0.150153,0.000770,0.008486,0.000782,0.050378,0.001165,0.059629,0.002233,0.017371,0.001340,0.275000,0.069405,0.000000,0.000000,0.259199,0.065444,0.289435,0.085694,160
0.050000,oracle_visual_servo_foundation_arbiter,2,0.923452,0.004661,1.144301,0.006746,0.816375,0.002431,0.011412,0.001385,0.043317,0.002520,0.001774,0.000373,0.150223,0.000736,0.008973,0.000810,0.050415,0.001132,0.060074,0.002229,0.017651,0.001354,0.268750,0.068907,0.000000,0.000000,0.254530,0.065283,0.282905,0.085378,160
0.050000,oracle_visual_servo_foundation_arbiter,3,0.923017,0.004602,1.144310,0.006644,0.816591,0.002410,0.011437,0.001389,0.043150,0.002571,0.001544,0.000347,0.149883,0.000734,0.008332,0.000776,0.050382,0.001134,0.059591,0.002213,0.017378,0.001339,0.281250,0.069886,0.000000,0.000000,0.265545,0.066013,0.297658,0.086416,160
0.050000,oracle_visual_servo_foundation_arbiter,4,0.921994,0.004653,1.142690,0.006677,0.816376,0.002402,0.011768,0.001302,0.043444,0.002509,0.001830,0.000365,0.150079,0.000748,0.008406,0.000811,0.050241,0.001167,0.060129,0.002151,0.017781,0.001311,0.268750,0.068907,0.000000,0.000000,0.253805,0.065105,0.282080,0.085173,160
0.050000,oracle_visual_servo_foundation_arbiter,5,0.922158,0.004600,1.143521,0.006714,0.816690,0.002425,0.011212,0.001357,0.043437,0.002511,0.001518,0.000357,0.150004,0.000751,0.008462,0.000770,0.050513,0.001124,0.059657,0.002188,0.017342,0.001308,0.262500,0.068392,0.000000,0.000000,0.248255,0.064706,0.275014,0.084704,160
0.050000,oracle_visual_servo_foundation_arbiter,6,0.922566,0.004590,1.143327,0.006558,0.816618,0.002371,0.011812,0.001344,0.043474,0.002535,0.001756,0.000365,0.150057,0.000719,0.008472,0.000767,0.050291,0.001167,0.060093,0.002172,0.017778,0.001324,0.275000,0.069405,0.000000,0.000000,0.259371,0.065493,0.289580,0.085733,160
0.050000,oracle_visual_servo_foundation_arbiter,7,0.921592,0.004727,1.142645,0.006723,0.816875,0.002446,0.011449,0.001356,0.043691,0.002494,0.001678,0.000378,0.150095,0.000691,0.008578,0.000828,0.050479,0.001149,0.059898,0.002203,0.017625,0.001336,0.281250,0.069886,0.000000,0.000000,0.265038,0.065893,0.297179,0.086302,160
0.050000,oracle_visual_servo_foundation_arbiter,8,0.921668,0.004507,1.142704,0.006545,0.816662,0.002434,0.011449,0.001342,0.043141,0.002494,0.001889,0.000382,0.150028,0.000781,0.008618,0.000792,0.050359,0.001121,0.060009,0.002203,0.017633,0.001332,0.275000,0.069405,0.000000,0.000000,0.259030,0.065406,0.289288,0.085660,160
0.050000,oracle_visual_servo_foundation_arbiter,9,0.922408,0.004573,1.143828,0.006585,0.816968,0.002386,0.011164,0.001346,0.043561,0.002547,0.001433,0.000331,0.150333,0.000785,0.008566,0.000762,0.050376,0.001157,0.059727,0.002203,0.017315,0.001303,0.268750,0.068907,0.000000,0.000000,0.253646,0.065065,0.282199,0.085206,160
0.050000,proposed_servo_foundation_arbiter_v4,0,0.769415,0.006251,0.852248,0.009381,0.678332,0.002420,0.076894,0.002226,0.080761,0.002545,0.026591,0.000624,0.206509,0.000783,0.040496,0.000865,0.057291,0.000910,0.091410,0.002460,0.077388,0.001890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,proposed_servo_foundation_arbiter_v4,1,0.769293,0.006100,0.851865,0.009268,0.677962,0.002425,0.076619,0.002216,0.081493,0.002539,0.026685,0.000644,0.206762,0.000783,0.040643,0.000816,0.057266,0.000931,0.091615,0.002485,0.077499,0.001906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,proposed_servo_foundation_arbiter_v4,2,0.770184,0.006202,0.852926,0.009280,0.678243,0.002406,0.076999,0.002142,0.080877,0.002523,0.026405,0.000644,0.206616,0.000776,0.040580,0.000821,0.057384,0.000943,0.091477,0.002421,0.077372,0.001855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,proposed_servo_foundation_arbiter_v4,3,0.770607,0.006277,0.853357,0.009439,0.678377,0.002427,0.077117,0.002213,0.080791,0.002546,0.026359,0.000670,0.206848,0.000797,0.040412,0.000824,0.057242,0.000887,0.091394,0.002471,0.077353,0.001908,0.006250,0.012250,0.000000,0.000000,0.005279,0.010347,-0.043533,0.012675,160
0.050000,proposed_servo_foundation_arbiter_v4,4,0.769500,0.006263,0.852223,0.009370,0.677956,0.002440,0.077127,0.002188,0.080712,0.002602,0.026449,0.000633,0.206231,0.000718,0.040305,0.000826,0.057278,0.000929,0.091422,0.002459,0.077373,0.001890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,proposed_servo_foundation_arbiter_v4,5,0.768714,0.006156,0.851062,0.009244,0.678116,0.002427,0.077323,0.002174,0.080855,0.002553,0.026741,0.000621,0.206716,0.000792,0.040278,0.000833,0.057298,0.000908,0.091725,0.002456,0.077663,0.001859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,proposed_servo_foundation_arbiter_v4,6,0.768946,0.005876,0.851588,0.008914,0.677747,0.002373,0.076975,0.002210,0.080771,0.002531,0.026395,0.000569,0.206720,0.000745,0.040456,0.000842,0.057256,0.000922,0.091248,0.002411,0.077309,0.001845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,proposed_servo_foundation_arbiter_v4,7,0.769102,0.006257,0.851620,0.009318,0.678171,0.002360,0.077057,0.002160,0.081113,0.002502,0.026690,0.000631,0.206533,0.000752,0.040448,0.000820,0.057225,0.000915,0.091551,0.002435,0.077593,0.001866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,proposed_servo_foundation_arbiter_v4,8,0.769658,0.006202,0.852180,0.009399,0.677736,0.002351,0.077071,0.002201,0.080900,0.002571,0.026419,0.000678,0.206773,0.000755,0.040400,0.000841,0.057269,0.000922,0.091546,0.002500,0.077387,0.001919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,proposed_servo_foundation_arbiter_v4,9,0.769556,0.006149,0.852328,0.009345,0.678169,0.002432,0.076898,0.002177,0.080881,0.002590,0.026457,0.000615,0.206684,0.000744,0.040517,0.000813,0.057267,0.000926,0.091597,0.002446,0.077343,0.001869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,0,0.659987,0.006510,0.667904,0.009929,0.617011,0.002338,0.106824,0.002420,0.103900,0.002565,0.039987,0.000679,0.276889,0.000782,0.055469,0.000781,0.070693,0.000851,0.116674,0.002548,0.107310,0.002018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,1,0.660808,0.006459,0.668295,0.009995,0.616517,0.002407,0.107302,0.002516,0.103873,0.002592,0.039657,0.000704,0.276996,0.000852,0.055706,0.000850,0.070841,0.000859,0.116770,0.002614,0.107385,0.002108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,2,0.661497,0.006314,0.668507,0.009763,0.616509,0.002414,0.107663,0.002496,0.104191,0.002565,0.039742,0.000612,0.277076,0.000804,0.055941,0.000854,0.070881,0.000877,0.116924,0.002592,0.107720,0.002024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,3,0.661798,0.006494,0.669568,0.010002,0.616525,0.002426,0.107127,0.002492,0.104066,0.002529,0.039492,0.000677,0.276708,0.000814,0.055411,0.000811,0.071007,0.000876,0.116530,0.002596,0.107195,0.002055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,4,0.660343,0.006606,0.667737,0.010028,0.616473,0.002421,0.107342,0.002415,0.104149,0.002565,0.039557,0.000676,0.276947,0.000831,0.055808,0.000814,0.070991,0.000909,0.116906,0.002544,0.107425,0.001999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,5,0.661747,0.006291,0.669459,0.009733,0.617054,0.002435,0.107231,0.002390,0.103916,0.002594,0.039688,0.000612,0.276955,0.000803,0.055670,0.000849,0.070820,0.000877,0.116575,0.002510,0.107372,0.001971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,6,0.661697,0.006633,0.669441,0.010115,0.616346,0.002350,0.106953,0.002467,0.104059,0.002576,0.039402,0.000675,0.277036,0.000789,0.055769,0.000813,0.070850,0.000888,0.116426,0.002554,0.107122,0.002046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,7,0.661812,0.006448,0.669493,0.009894,0.616525,0.002394,0.107127,0.002472,0.104126,0.002528,0.039498,0.000653,0.276783,0.000779,0.055725,0.000855,0.070640,0.000864,0.116674,0.002568,0.107268,0.002025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,8,0.661190,0.006353,0.669130,0.009818,0.616680,0.002454,0.106899,0.002435,0.103677,0.002571,0.039456,0.000672,0.276975,0.000811,0.056026,0.000840,0.070628,0.000894,0.116346,0.002563,0.107090,0.002033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,robust_mpc_handoff,9,0.661396,0.006446,0.669487,0.009934,0.617233,0.002368,0.106883,0.002532,0.104110,0.002534,0.039405,0.000684,0.276897,0.000796,0.055850,0.000806,0.070841,0.000902,0.116557,0.002559,0.107116,0.002055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,160
0.050000,stability_calibrated_servo_foundation_arbiter_v5,0,0.823093,0.005566,0.974295,0.008253,0.748850,0.002420,0.043698,0.001830,0.061550,0.002481,0.013689,0.000578,0.186546,0.000772,0.022942,0.000836,0.065042,0.001079,0.075101,0.002425,0.046586,0.001663,0.056250,0.035814,0.000000,0.000000,0.048865,0.031128,0.012337,0.039704,160
0.050000,stability_calibrated_servo_foundation_arbiter_v5,1,0.823609,0.005239,0.975053,0.007936,0.748658,0.002417,0.043436,0.001847,0.061567,0.002521,0.013611,0.000636,0.186407,0.000759,0.022667,0.000815,0.065317,0.001070,0.074957,0.002455,0.046368,0.001701,0.050000,0.033877,0.000000,0.000000,0.043363,0.029389,0.005388,0.037535,160
0.050000,stability_calibrated_servo_foundation_arbiter_v5,2,0.823826,0.005423,0.975125,0.008183,0.748567,0.002456,0.043397,0.001851,0.061669,0.002548,0.013701,0.000587,0.186324,0.000779,0.023110,0.000861,0.064954,0.001033,0.074920,0.002459,0.046504,0.001693,0.062500,0.037626,0.000000,0.000000,0.054750,0.032973,0.019679,0.041959,160
0.050000,stability_calibrated_servo_foundation_arbiter_v5,3,0.823763,0.005362,0.975422,0.008049,0.748835,0.002435,0.043049,0.001823,0.061471,0.002568,0.013720,0.000612,0.186457,0.000790,0.023041,0.000832,0.065353,0.001060,0.074943,0.002448,0.046292,0.001702,0.068750,0.039330,0.000000,0.000000,0.059883,0.034266,0.026426,0.043728,160
0.050000,stability_calibrated_servo_foundation_arbiter_v5,4,0.824317,0.005349,0.976077,0.008069,0.748982,0.002306,0.043288,0.001846,0.061630,0.002564,0.013262,0.000626,0.186455,0.000793,0.022979,0.000830,0.065036,0.001044,0.074938,0.002476,0.046166,0.001721,0.050000,0.033877,0.000000,0.000000,0.043750,0.029651,0.005839,0.037841,160
0.050000,stability_calibrated_servo_foundation_arbiter_v5,5,0.824223,0.005277,0.975678,0.007982,0.748601,0.002417,0.043257,0.001887,0.061593,0.002564,0.013522,0.000535,0.186554,0.000789,0.023182,0.000798,0.065115,0.001038,0.074791,0.002437,0.046330,0.001687,0.062500,0.037626,0.000000,0.000000,0.054233,0.032658,0.019261,0.041706,160
0.050000,stability_calibrated_servo_foundation_arbiter_v5,6,0.823978,0.005459,0.974909,0.008218,0.747869,0.002425,0.043935,0.001866,0.061484,0.002483,0.013133,0.000645,0.186569,0.000746,0.023154,0.000810,0.065278,0.001045,0.074923,0.002471,0.046401,0.001721,0.056250,0.035814,0.000000,0.000000,0.049148,0.031301,0.012683,0.039917,160
