ablation,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
foundation_only_preference,0.735470,0.002507,0.773158,0.003454,0.643500,0.000769,0.111030,0.000659,0.119871,0.001036,0.022713,0.000234,0.180578,0.000278,0.055199,0.000287,0.070014,0.000337,0.130636,0.000844,0.102776,0.000604,800
full_stability_calibrated_arbiter_v5,0.810173,0.002285,0.947688,0.003144,0.737413,0.000766,0.050742,0.000638,0.067649,0.001052,0.016082,0.000212,0.189345,0.000278,0.026193,0.000280,0.069925,0.000334,0.085191,0.000823,0.053282,0.000580,800
minus_action_critical_error,0.775285,0.002368,0.869860,0.003285,0.687348,0.000765,0.073052,0.000641,0.088648,0.001051,0.018766,0.000225,0.189941,0.000281,0.034589,0.000285,0.069931,0.000329,0.099569,0.000834,0.071678,0.000590,800
minus_calibration_guard,0.783257,0.002381,0.879649,0.003287,0.707340,0.000744,0.072956,0.000649,0.084586,0.001052,0.018488,0.000226,0.188001,0.000272,0.062577,0.000293,0.069999,0.000333,0.103471,0.000842,0.075615,0.000599,800
minus_fixed_risk_screen,0.783134,0.002363,0.876628,0.003273,0.713598,0.000755,0.086621,0.000647,0.085011,0.001046,0.019244,0.000225,0.185949,0.000272,0.040954,0.000296,0.070029,0.000334,0.106755,0.000837,0.078814,0.000595,800
minus_foundation_action_risk,0.784994,0.002307,0.877689,0.003200,0.705244,0.000764,0.085972,0.000635,0.083111,0.001055,0.019213,0.000220,0.185776,0.000274,0.036883,0.000294,0.069987,0.000333,0.105216,0.000830,0.077334,0.000584,800
minus_jacobian_margin,0.778223,0.002354,0.883215,0.003272,0.697441,0.000762,0.063011,0.000655,0.094224,0.001052,0.018274,0.000218,0.187996,0.000283,0.032596,0.000291,0.070048,0.000331,0.095313,0.000837,0.067441,0.000598,800
minus_latency_penalty,0.782533,0.002340,0.881331,0.003237,0.712431,0.000747,0.060837,0.000651,0.085973,0.001043,0.017998,0.000214,0.264880,0.000281,0.032491,0.000295,0.070061,0.000332,0.092288,0.000833,0.064403,0.000588,800
servo_only_preference,0.748584,0.002421,0.831023,0.003337,0.677428,0.000752,0.070619,0.000642,0.098317,0.001047,0.019467,0.000228,0.220251,0.000284,0.040534,0.000292,0.069983,0.000337,0.102011,0.000834,0.074114,0.000591,800
uncertainty_only_gate,0.752013,0.002442,0.811413,0.003358,0.667268,0.000741,0.094832,0.000658,0.103187,0.001046,0.020915,0.000220,0.210243,0.000272,0.046992,0.000294,0.070004,0.000334,0.116714,0.000844,0.088810,0.000594,800
