method,split,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,clean_deployment,0,0.640881,0.002824,0.623563,0.004299,0.576103,0.001056,0.118704,0.001098,0.110596,0.001186,0.047888,0.000330,0.252890,0.000322,0.062700,0.000345,0.064278,0.000337,0.119511,0.001058,0.120371,0.000912,640
cbf_safety_shield,clean_deployment,1,0.641403,0.002802,0.624074,0.004295,0.576013,0.001081,0.118694,0.001124,0.110454,0.001194,0.047863,0.000324,0.252860,0.000325,0.062875,0.000333,0.064380,0.000342,0.119720,0.001070,0.120351,0.000921,640
cbf_safety_shield,clean_deployment,2,0.641714,0.002869,0.624341,0.004360,0.576096,0.001063,0.118792,0.001113,0.110612,0.001186,0.047926,0.000323,0.252873,0.000327,0.062552,0.000346,0.064329,0.000338,0.119676,0.001062,0.120412,0.000914,640
cbf_safety_shield,clean_deployment,3,0.641449,0.002855,0.624147,0.004335,0.576160,0.001074,0.118766,0.001104,0.110499,0.001176,0.047840,0.000317,0.252928,0.000318,0.062662,0.000338,0.064474,0.000345,0.119563,0.001045,0.120344,0.000905,640
cbf_safety_shield,clean_deployment,4,0.641803,0.002840,0.624578,0.004316,0.576349,0.001079,0.118643,0.001100,0.110619,0.001178,0.047887,0.000314,0.252964,0.000326,0.062739,0.000348,0.064387,0.000343,0.119635,0.001050,0.120352,0.000904,640
cbf_safety_shield,clean_deployment,5,0.641912,0.002856,0.624592,0.004326,0.576209,0.001055,0.118836,0.001105,0.110508,0.001187,0.047773,0.000321,0.252947,0.000327,0.062717,0.000336,0.064448,0.000349,0.119626,0.001056,0.120350,0.000907,640
cbf_safety_shield,clean_deployment,6,0.642074,0.002808,0.624726,0.004280,0.576278,0.001081,0.118858,0.001098,0.110404,0.001173,0.047958,0.000318,0.252866,0.000327,0.062665,0.000337,0.064386,0.000344,0.119575,0.001050,0.120436,0.000899,640
cbf_safety_shield,clean_deployment,7,0.641035,0.002813,0.623695,0.004316,0.576157,0.001075,0.118742,0.001124,0.110500,0.001184,0.047894,0.000318,0.252928,0.000318,0.062791,0.000343,0.064396,0.000342,0.119666,0.001070,0.120387,0.000920,640
cbf_safety_shield,clean_deployment,8,0.641600,0.002798,0.624168,0.004259,0.575879,0.001063,0.118770,0.001086,0.110619,0.001184,0.047859,0.000315,0.252792,0.000324,0.062746,0.000342,0.064392,0.000345,0.119630,0.001042,0.120398,0.000897,640
cbf_safety_shield,clean_deployment,9,0.641820,0.002846,0.624433,0.004346,0.576200,0.001075,0.118849,0.001115,0.110406,0.001178,0.047995,0.000330,0.252801,0.000319,0.062727,0.000339,0.064330,0.000349,0.119755,0.001067,0.120465,0.000921,640
cbf_safety_shield,combined_stress,0,0.576801,0.003528,0.520768,0.005107,0.557266,0.001072,0.148354,0.001108,0.126893,0.001198,0.051210,0.000341,0.260863,0.000328,0.071471,0.000344,0.070607,0.000343,0.145148,0.001070,0.141693,0.000925,640
cbf_safety_shield,combined_stress,1,0.576308,0.003482,0.520159,0.005045,0.557212,0.001085,0.148532,0.001101,0.126811,0.001180,0.051292,0.000338,0.260975,0.000335,0.071138,0.000347,0.070654,0.000335,0.145231,0.001060,0.141748,0.000915,640
cbf_safety_shield,combined_stress,2,0.576865,0.003475,0.520863,0.005059,0.557142,0.001088,0.148217,0.001115,0.126953,0.001187,0.051202,0.000341,0.260938,0.000342,0.071482,0.000346,0.070564,0.000342,0.145198,0.001075,0.141638,0.000928,640
cbf_safety_shield,combined_stress,3,0.576615,0.003497,0.520386,0.005047,0.557224,0.001062,0.148567,0.001107,0.126929,0.001188,0.051277,0.000342,0.260848,0.000326,0.071370,0.000336,0.070714,0.000344,0.145369,0.001068,0.141824,0.000918,640
cbf_safety_shield,combined_stress,4,0.576938,0.003544,0.520853,0.005087,0.557064,0.001053,0.148324,0.001090,0.126815,0.001186,0.051237,0.000337,0.260987,0.000337,0.071436,0.000348,0.070578,0.000349,0.145250,0.001055,0.141670,0.000911,640
cbf_safety_shield,combined_stress,5,0.577198,0.003456,0.520949,0.005028,0.556965,0.001077,0.148448,0.001110,0.126938,0.001181,0.051236,0.000337,0.261005,0.000342,0.071438,0.000344,0.070564,0.000345,0.145349,0.001069,0.141757,0.000919,640
cbf_safety_shield,combined_stress,6,0.577829,0.003504,0.521517,0.005062,0.556890,0.001062,0.148517,0.001112,0.126839,0.001169,0.051295,0.000340,0.260878,0.000331,0.071461,0.000334,0.070634,0.000337,0.145263,0.001071,0.141807,0.000923,640
cbf_safety_shield,combined_stress,7,0.576958,0.003550,0.520645,0.005122,0.557130,0.001090,0.148576,0.001106,0.126961,0.001167,0.051315,0.000344,0.260961,0.000341,0.071355,0.000340,0.070681,0.000337,0.145397,0.001061,0.141854,0.000920,640
cbf_safety_shield,combined_stress,8,0.576913,0.003515,0.520469,0.005095,0.557000,0.001091,0.148775,0.001109,0.126994,0.001186,0.051160,0.000333,0.261046,0.000333,0.071342,0.000337,0.070617,0.000342,0.145512,0.001073,0.141865,0.000922,640
cbf_safety_shield,combined_stress,9,0.576598,0.003482,0.520393,0.005072,0.557109,0.001076,0.148486,0.001120,0.126924,0.001187,0.051256,0.000345,0.260922,0.000336,0.071352,0.000339,0.070703,0.000347,0.145312,0.001078,0.141768,0.000933,640
cbf_safety_shield,heldout_camera,0,0.608049,0.003144,0.570324,0.004677,0.566292,0.001070,0.134341,0.001107,0.119128,0.001187,0.049728,0.000333,0.257226,0.000328,0.067211,0.000348,0.067687,0.000336,0.133245,0.001059,0.131632,0.000915,640
cbf_safety_shield,heldout_camera,1,0.607406,0.003186,0.569546,0.004719,0.566225,0.001074,0.134541,0.001104,0.119309,0.001183,0.049508,0.000324,0.257167,0.000325,0.067354,0.000344,0.067779,0.000335,0.133213,0.001063,0.131666,0.000911,640
cbf_safety_shield,heldout_camera,2,0.607012,0.003205,0.569195,0.004752,0.565987,0.001086,0.134493,0.001116,0.119140,0.001188,0.049457,0.000335,0.257153,0.000330,0.067318,0.000345,0.067725,0.000341,0.133066,0.001068,0.131570,0.000923,640
cbf_safety_shield,heldout_camera,3,0.607689,0.003163,0.569735,0.004695,0.566101,0.001094,0.134637,0.001102,0.119288,0.001170,0.049520,0.000324,0.257216,0.000329,0.067248,0.000342,0.067711,0.000344,0.133214,0.001056,0.131695,0.000906,640
cbf_safety_shield,heldout_camera,4,0.607715,0.003183,0.569887,0.004716,0.565992,0.001060,0.134514,0.001111,0.119114,0.001193,0.049503,0.000326,0.257039,0.000339,0.067338,0.000344,0.067707,0.000339,0.133224,0.001062,0.131604,0.000917,640
cbf_safety_shield,heldout_camera,5,0.608076,0.003121,0.570365,0.004648,0.566176,0.001096,0.134315,0.001099,0.119082,0.001173,0.049645,0.000324,0.257213,0.000324,0.067304,0.000343,0.067729,0.000340,0.133120,0.001054,0.131578,0.000904,640
cbf_safety_shield,heldout_camera,6,0.607968,0.003165,0.570078,0.004706,0.566222,0.001060,0.134500,0.001118,0.119262,0.001180,0.049775,0.000333,0.257011,0.000335,0.067233,0.000355,0.067675,0.000345,0.133269,0.001067,0.131769,0.000924,640
cbf_safety_shield,heldout_camera,7,0.607758,0.003132,0.569830,0.004651,0.566146,0.001064,0.134617,0.001108,0.119173,0.001178,0.049625,0.000324,0.257085,0.000331,0.067275,0.000344,0.067757,0.000338,0.133260,0.001064,0.131726,0.000910,640
cbf_safety_shield,heldout_camera,8,0.606900,0.003116,0.569061,0.004645,0.566125,0.001071,0.134377,0.001108,0.119420,0.001184,0.049575,0.000334,0.257187,0.000328,0.067354,0.000340,0.067714,0.000345,0.133179,0.001062,0.131651,0.000918,640
cbf_safety_shield,heldout_camera,9,0.607980,0.003149,0.570032,0.004690,0.565894,0.001059,0.134611,0.001116,0.119068,0.001181,0.049592,0.000325,0.257100,0.000334,0.067225,0.000347,0.067638,0.000347,0.133197,0.001063,0.131673,0.000918,640
cbf_safety_shield,heldout_object,0,0.624035,0.002945,0.596082,0.004454,0.571012,0.001067,0.126999,0.001106,0.114996,0.001185,0.048736,0.000328,0.255034,0.000317,0.065027,0.000345,0.066047,0.000343,0.126697,0.001058,0.126230,0.000914,640
cbf_safety_shield,heldout_object,1,0.623740,0.002982,0.595775,0.004475,0.571189,0.001068,0.127048,0.001106,0.115024,0.001183,0.048725,0.000311,0.254972,0.000328,0.065195,0.000334,0.066153,0.000339,0.126680,0.001053,0.126284,0.000901,640
cbf_safety_shield,heldout_object,2,0.625386,0.002978,0.597690,0.004492,0.570949,0.001074,0.126766,0.001113,0.114868,0.001185,0.048642,0.000312,0.255000,0.000331,0.064954,0.000343,0.066092,0.000350,0.126518,0.001051,0.126023,0.000903,640
cbf_safety_shield,heldout_object,3,0.624808,0.002994,0.596774,0.004510,0.570795,0.001074,0.126955,0.001115,0.114992,0.001189,0.048760,0.000330,0.255085,0.000318,0.065087,0.000338,0.066117,0.000338,0.126731,0.001065,0.126233,0.000918,640
cbf_safety_shield,heldout_object,4,0.624922,0.003011,0.597281,0.004520,0.570920,0.001056,0.126614,0.001105,0.115018,0.001198,0.048658,0.000321,0.255059,0.000320,0.064903,0.000355,0.066073,0.000344,0.126401,0.001060,0.125983,0.000917,640
cbf_safety_shield,heldout_object,5,0.624611,0.002989,0.596721,0.004510,0.571100,0.001071,0.126964,0.001116,0.115009,0.001190,0.048645,0.000331,0.255133,0.000317,0.065084,0.000338,0.066097,0.000334,0.126599,0.001065,0.126174,0.000919,640
cbf_safety_shield,heldout_object,6,0.625219,0.002952,0.597262,0.004474,0.571064,0.001062,0.127016,0.001113,0.115000,0.001187,0.048653,0.000329,0.255098,0.000334,0.065175,0.000354,0.066092,0.000345,0.126672,0.001062,0.126218,0.000920,640
cbf_safety_shield,heldout_object,7,0.624988,0.002951,0.597405,0.004468,0.571007,0.001065,0.126556,0.001112,0.115064,0.001191,0.048598,0.000326,0.255146,0.000322,0.064969,0.000351,0.066067,0.000344,0.126307,0.001068,0.125942,0.000920,640
cbf_safety_shield,heldout_object,8,0.624321,0.003022,0.596478,0.004538,0.570932,0.001087,0.126783,0.001099,0.114890,0.001190,0.048759,0.000332,0.255144,0.000319,0.065088,0.000340,0.066118,0.000344,0.126564,0.001065,0.126127,0.000914,640
cbf_safety_shield,heldout_object,9,0.625136,0.003027,0.597346,0.004564,0.571001,0.001074,0.126816,0.001121,0.115028,0.001189,0.048679,0.000328,0.254968,0.000329,0.065036,0.000356,0.066068,0.000338,0.126459,0.001074,0.126118,0.000927,640
classical_ibvs_only,clean_deployment,0,0.536955,0.002758,0.494376,0.004242,0.496799,0.001077,0.121947,0.001065,0.124871,0.001174,0.063851,0.000327,0.155609,0.000327,0.085337,0.000341,0.024673,0.000264,0.127117,0.000930,0.138401,0.000891,640
classical_ibvs_only,clean_deployment,1,0.536768,0.002772,0.494193,0.004279,0.496669,0.001084,0.121918,0.001077,0.124918,0.001188,0.063813,0.000324,0.155675,0.000324,0.085236,0.000344,0.024517,0.000265,0.127145,0.000948,0.138357,0.000903,640
classical_ibvs_only,clean_deployment,2,0.536519,0.002773,0.494148,0.004239,0.497063,0.001082,0.121752,0.001066,0.125045,0.001175,0.063868,0.000312,0.155788,0.000335,0.085108,0.000344,0.024463,0.000266,0.127052,0.000922,0.138314,0.000880,640
classical_ibvs_only,clean_deployment,3,0.535833,0.002795,0.493294,0.004292,0.496790,0.001075,0.121975,0.001086,0.124799,0.001182,0.063742,0.000323,0.155810,0.000322,0.085238,0.000338,0.024628,0.000273,0.127105,0.000941,0.138317,0.000901,640
classical_ibvs_only,clean_deployment,4,0.536591,0.002799,0.494332,0.004310,0.496998,0.001078,0.121754,0.001094,0.124614,0.001176,0.063763,0.000327,0.155722,0.000329,0.085320,0.000349,0.024524,0.000270,0.126881,0.000952,0.138197,0.000908,640
classical_ibvs_only,clean_deployment,5,0.536655,0.002803,0.494005,0.004274,0.496888,0.001061,0.122006,0.001069,0.125033,0.001188,0.063900,0.000316,0.155776,0.000322,0.085179,0.000332,0.024546,0.000271,0.127236,0.000930,0.138464,0.000887,640
classical_ibvs_only,clean_deployment,6,0.537141,0.002788,0.494674,0.004287,0.496785,0.001081,0.121947,0.001102,0.124931,0.001183,0.063659,0.000321,0.155706,0.000319,0.085146,0.000347,0.024568,0.000273,0.127051,0.000942,0.138268,0.000905,640
classical_ibvs_only,clean_deployment,7,0.537240,0.002774,0.494790,0.004252,0.496812,0.001082,0.121791,0.001069,0.124896,0.001179,0.063767,0.000320,0.155887,0.000326,0.085223,0.000348,0.024665,0.000262,0.126987,0.000931,0.138262,0.000893,640
