method,split,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
classical_ibvs_only,clean_deployment,8,0.536527,0.002839,0.494076,0.004331,0.496741,0.001076,0.121808,0.001072,0.124974,0.001178,0.063709,0.000324,0.155754,0.000328,0.085224,0.000337,0.024643,0.000263,0.127045,0.000934,0.138254,0.000895,640
classical_ibvs_only,clean_deployment,9,0.536985,0.002795,0.494364,0.004270,0.496743,0.001051,0.121991,0.001076,0.124972,0.001183,0.063829,0.000319,0.155700,0.000313,0.085148,0.000345,0.024689,0.000269,0.127154,0.000932,0.138397,0.000893,640
classical_ibvs_only,combined_stress,0,0.469620,0.003408,0.389236,0.004959,0.477945,0.001081,0.150553,0.001076,0.141255,0.001184,0.067156,0.000326,0.163966,0.000342,0.093747,0.000341,0.028513,0.000262,0.149032,0.000931,0.159166,0.000897,640
classical_ibvs_only,combined_stress,1,0.469907,0.003445,0.389151,0.005005,0.477469,0.001075,0.150750,0.001080,0.141175,0.001178,0.067298,0.000339,0.163868,0.000327,0.093885,0.000340,0.028495,0.000268,0.149145,0.000946,0.159351,0.000909,640
classical_ibvs_only,combined_stress,2,0.470493,0.003439,0.389977,0.004981,0.477677,0.001075,0.150622,0.001074,0.141422,0.001183,0.067063,0.000336,0.163836,0.000327,0.093829,0.000345,0.028479,0.000269,0.149037,0.000940,0.159197,0.000902,640
classical_ibvs_only,combined_stress,3,0.469657,0.003435,0.389062,0.004982,0.477686,0.001065,0.150635,0.001063,0.141268,0.001175,0.067328,0.000332,0.163793,0.000342,0.093769,0.000343,0.028498,0.000275,0.149083,0.000934,0.159312,0.000896,640
classical_ibvs_only,combined_stress,4,0.469952,0.003474,0.389131,0.005020,0.477715,0.001076,0.151043,0.001067,0.141264,0.001188,0.067233,0.000326,0.163768,0.000329,0.093740,0.000341,0.028420,0.000268,0.149270,0.000935,0.159447,0.000895,640
classical_ibvs_only,combined_stress,5,0.470390,0.003444,0.389779,0.004983,0.477757,0.001053,0.150733,0.001064,0.141231,0.001182,0.067160,0.000331,0.163908,0.000341,0.093933,0.000342,0.028558,0.000264,0.149117,0.000935,0.159283,0.000897,640
classical_ibvs_only,combined_stress,6,0.469727,0.003424,0.389174,0.004976,0.477948,0.001059,0.150825,0.001071,0.141268,0.001177,0.067230,0.000341,0.163655,0.000336,0.093730,0.000347,0.028401,0.000275,0.149228,0.000945,0.159340,0.000906,640
classical_ibvs_only,combined_stress,7,0.470022,0.003490,0.389344,0.005051,0.477590,0.001076,0.150841,0.001080,0.141308,0.001188,0.067055,0.000332,0.163874,0.000327,0.093833,0.000349,0.028439,0.000269,0.149111,0.000941,0.159274,0.000906,640
classical_ibvs_only,combined_stress,8,0.470172,0.003454,0.389548,0.005010,0.477610,0.001066,0.150762,0.001076,0.141133,0.001183,0.067208,0.000342,0.163866,0.000342,0.093761,0.000344,0.028439,0.000269,0.149103,0.000948,0.159273,0.000905,640
classical_ibvs_only,combined_stress,9,0.469624,0.003402,0.389188,0.004954,0.477922,0.001067,0.150662,0.001083,0.141155,0.001174,0.067134,0.000335,0.164003,0.000337,0.093754,0.000344,0.028417,0.000269,0.148987,0.000938,0.159185,0.000904,640
classical_ibvs_only,heldout_camera,0,0.501402,0.003105,0.438736,0.004632,0.486727,0.001067,0.137238,0.001079,0.133407,0.001190,0.065568,0.000333,0.160062,0.000334,0.089724,0.000341,0.026707,0.000269,0.138734,0.000946,0.149403,0.000906,640
classical_ibvs_only,heldout_camera,1,0.501487,0.003132,0.438963,0.004657,0.486694,0.001049,0.136988,0.001087,0.133527,0.001191,0.065573,0.000329,0.160009,0.000329,0.089762,0.000341,0.026642,0.000265,0.138610,0.000942,0.149320,0.000906,640
classical_ibvs_only,heldout_camera,2,0.501349,0.003178,0.438932,0.004711,0.486886,0.001074,0.137050,0.001086,0.133248,0.001181,0.065570,0.000322,0.160017,0.000322,0.089739,0.000351,0.026572,0.000272,0.138648,0.000940,0.149282,0.000904,640
classical_ibvs_only,heldout_camera,3,0.502049,0.003091,0.439497,0.004630,0.486648,0.001065,0.137067,0.001080,0.133325,0.001185,0.065642,0.000335,0.159932,0.000332,0.089703,0.000348,0.026706,0.000269,0.138644,0.000943,0.149343,0.000910,640
classical_ibvs_only,heldout_camera,4,0.501661,0.003171,0.438912,0.004707,0.486518,0.001062,0.137247,0.001081,0.133360,0.001182,0.065695,0.000325,0.159886,0.000327,0.089684,0.000351,0.026642,0.000266,0.138785,0.000942,0.149464,0.000905,640
classical_ibvs_only,heldout_camera,5,0.501859,0.003139,0.439115,0.004664,0.486757,0.001056,0.137244,0.001089,0.133649,0.001186,0.065574,0.000326,0.159950,0.000329,0.089851,0.000343,0.026773,0.000263,0.138824,0.000947,0.149486,0.000905,640
classical_ibvs_only,heldout_camera,6,0.501484,0.003118,0.438981,0.004658,0.486916,0.001076,0.137041,0.001083,0.133399,0.001190,0.065619,0.000327,0.159995,0.000330,0.089889,0.000349,0.026628,0.000266,0.138697,0.000942,0.149367,0.000902,640
classical_ibvs_only,heldout_camera,7,0.501946,0.003181,0.439466,0.004713,0.486782,0.001081,0.137013,0.001072,0.133475,0.001184,0.065614,0.000335,0.159964,0.000338,0.089646,0.000336,0.026607,0.000264,0.138571,0.000939,0.149323,0.000903,640
classical_ibvs_only,heldout_camera,8,0.501251,0.003160,0.438671,0.004699,0.486909,0.001088,0.137195,0.001074,0.133441,0.001198,0.065529,0.000326,0.160009,0.000339,0.089864,0.000340,0.026627,0.000262,0.138729,0.000942,0.149393,0.000902,640
classical_ibvs_only,heldout_camera,9,0.501073,0.003113,0.438558,0.004625,0.486804,0.001077,0.137042,0.001072,0.133529,0.001180,0.065589,0.000317,0.160021,0.000330,0.089656,0.000344,0.026685,0.000269,0.138684,0.000921,0.149336,0.000887,640
classical_ibvs_only,heldout_object,0,0.518939,0.002992,0.466093,0.004502,0.491407,0.001084,0.129694,0.001067,0.129269,0.001180,0.064687,0.000323,0.157953,0.000332,0.087472,0.000352,0.025577,0.000270,0.133099,0.000936,0.143956,0.000893,640
classical_ibvs_only,heldout_object,1,0.519048,0.002960,0.466081,0.004494,0.491588,0.001089,0.129898,0.001096,0.129327,0.001191,0.064846,0.000324,0.157710,0.000327,0.087373,0.000334,0.025647,0.000271,0.133266,0.000938,0.144141,0.000906,640
classical_ibvs_only,heldout_object,2,0.519574,0.002930,0.466665,0.004425,0.491637,0.001072,0.129831,0.001064,0.129280,0.001181,0.064764,0.000323,0.157878,0.000332,0.087506,0.000334,0.025635,0.000272,0.133204,0.000925,0.144074,0.000887,640
classical_ibvs_only,heldout_object,3,0.518646,0.002983,0.465685,0.004508,0.491840,0.001077,0.130002,0.001087,0.129157,0.001179,0.064732,0.000321,0.157926,0.000330,0.087643,0.000353,0.025697,0.000272,0.133174,0.000945,0.144136,0.000901,640
classical_ibvs_only,heldout_object,4,0.519349,0.002996,0.466425,0.004499,0.491414,0.001063,0.129731,0.001078,0.129411,0.001184,0.064685,0.000322,0.157940,0.000321,0.087515,0.000354,0.025676,0.000272,0.133068,0.000938,0.144012,0.000899,640
classical_ibvs_only,heldout_object,5,0.519008,0.002989,0.466204,0.004512,0.491579,0.001070,0.129743,0.001088,0.129265,0.001196,0.064582,0.000333,0.157939,0.000328,0.087602,0.000340,0.025700,0.000270,0.133018,0.000948,0.143941,0.000907,640
classical_ibvs_only,heldout_object,6,0.517830,0.002910,0.464900,0.004398,0.491570,0.001064,0.129852,0.001072,0.129200,0.001184,0.064761,0.000318,0.157851,0.000321,0.087550,0.000347,0.025659,0.000260,0.133143,0.000930,0.144073,0.000887,640
classical_ibvs_only,heldout_object,7,0.518807,0.002996,0.465795,0.004498,0.491563,0.001085,0.130010,0.001068,0.129247,0.001192,0.064608,0.000323,0.158025,0.000329,0.087526,0.000347,0.025660,0.000275,0.133132,0.000934,0.144066,0.000896,640
classical_ibvs_only,heldout_object,8,0.518914,0.002965,0.466052,0.004476,0.491683,0.001080,0.129885,0.001085,0.129316,0.001178,0.064636,0.000326,0.157903,0.000336,0.087448,0.000339,0.025542,0.000270,0.133102,0.000940,0.144024,0.000902,640
classical_ibvs_only,heldout_object,9,0.518921,0.002978,0.465877,0.004486,0.491573,0.001087,0.129951,0.001076,0.129325,0.001185,0.064707,0.000327,0.157951,0.000324,0.087623,0.000332,0.025623,0.000269,0.133199,0.000933,0.144130,0.000897,640
conformal_visual_abstention,clean_deployment,0,0.671289,0.002596,0.703853,0.003891,0.622251,0.001087,0.087886,0.000938,0.104882,0.001169,0.038344,0.000315,0.248247,0.000309,0.038563,0.000342,0.095932,0.000404,0.111742,0.001056,0.094440,0.000825,640
conformal_visual_abstention,clean_deployment,1,0.670599,0.002528,0.703398,0.003829,0.622337,0.001047,0.087735,0.000940,0.104954,0.001193,0.038137,0.000306,0.248138,0.000314,0.038645,0.000344,0.095851,0.000408,0.111507,0.001052,0.094278,0.000824,640
conformal_visual_abstention,clean_deployment,2,0.670783,0.002548,0.703427,0.003857,0.622196,0.001083,0.087967,0.000948,0.104727,0.001182,0.038080,0.000304,0.248242,0.000323,0.038665,0.000342,0.095901,0.000399,0.111618,0.001056,0.094310,0.000822,640
conformal_visual_abstention,clean_deployment,3,0.671925,0.002546,0.704938,0.003867,0.622493,0.001086,0.087573,0.000944,0.104831,0.001174,0.038129,0.000310,0.248234,0.000322,0.038546,0.000337,0.095895,0.000417,0.111399,0.001051,0.094151,0.000823,640
conformal_visual_abstention,clean_deployment,4,0.671466,0.002547,0.704477,0.003848,0.622451,0.001066,0.087593,0.000931,0.104841,0.001175,0.037997,0.000310,0.248344,0.000321,0.038602,0.000340,0.095932,0.000402,0.111349,0.001053,0.094096,0.000819,640
conformal_visual_abstention,clean_deployment,5,0.671595,0.002595,0.704474,0.003914,0.622241,0.001083,0.087596,0.000934,0.104762,0.001178,0.038212,0.000306,0.248231,0.000326,0.038563,0.000347,0.095939,0.000391,0.111540,0.001053,0.094198,0.000820,640
conformal_visual_abstention,clean_deployment,6,0.670818,0.002560,0.703624,0.003869,0.622488,0.001078,0.087863,0.000931,0.104778,0.001179,0.038171,0.000306,0.248191,0.000327,0.038523,0.000344,0.095846,0.000408,0.111490,0.001046,0.094299,0.000820,640
conformal_visual_abstention,clean_deployment,7,0.670995,0.002604,0.703916,0.003927,0.622229,0.001067,0.087695,0.000954,0.104599,0.001177,0.038038,0.000310,0.248278,0.000314,0.038608,0.000337,0.095896,0.000396,0.111456,0.001066,0.094117,0.000831,640
conformal_visual_abstention,clean_deployment,8,0.671136,0.002585,0.703911,0.003904,0.622470,0.001075,0.087840,0.000944,0.104821,0.001190,0.038178,0.000307,0.248181,0.000334,0.038638,0.000345,0.095864,0.000412,0.111632,0.001064,0.094321,0.000826,640
conformal_visual_abstention,clean_deployment,9,0.671371,0.002539,0.704293,0.003850,0.622348,0.001070,0.087689,0.000936,0.104718,0.001181,0.038049,0.000300,0.248243,0.000312,0.038678,0.000337,0.095815,0.000395,0.111382,0.001046,0.094159,0.000816,640
conformal_visual_abstention,combined_stress,0,0.619003,0.002994,0.616938,0.004397,0.603493,0.001079,0.112496,0.000936,0.120919,0.001179,0.041053,0.000323,0.256150,0.000326,0.047189,0.000339,0.104083,0.000402,0.137177,0.001065,0.112905,0.000832,640
conformal_visual_abstention,combined_stress,1,0.619022,0.002983,0.616982,0.004368,0.603256,0.001067,0.112346,0.000960,0.120766,0.001185,0.041188,0.000318,0.256124,0.000320,0.047122,0.000341,0.104076,0.000406,0.137103,0.001075,0.112865,0.000840,640
conformal_visual_abstention,combined_stress,2,0.619340,0.003024,0.617209,0.004421,0.603514,0.001072,0.112615,0.000944,0.121008,0.001188,0.041041,0.000315,0.255993,0.000319,0.047179,0.000349,0.104085,0.000402,0.137216,0.001061,0.112973,0.000833,640
conformal_visual_abstention,combined_stress,3,0.618985,0.003034,0.616692,0.004425,0.603169,0.001065,0.112573,0.000946,0.121044,0.001179,0.041104,0.000313,0.256133,0.000322,0.047221,0.000341,0.104000,0.000405,0.137298,0.001059,0.113005,0.000826,640
conformal_visual_abstention,combined_stress,4,0.619339,0.003007,0.617142,0.004403,0.603398,0.001073,0.112707,0.000937,0.120956,0.001183,0.041032,0.000310,0.256068,0.000321,0.047026,0.000343,0.104085,0.000413,0.137198,0.001063,0.112972,0.000826,640
conformal_visual_abstention,combined_stress,5,0.618573,0.003034,0.616501,0.004430,0.603435,0.001093,0.112503,0.000933,0.120905,0.001177,0.041077,0.000314,0.256190,0.000323,0.047056,0.000337,0.104049,0.000402,0.137128,0.001055,0.112895,0.000821,640
conformal_visual_abstention,combined_stress,6,0.619249,0.002983,0.616914,0.004381,0.603172,0.001085,0.112572,0.000933,0.121145,0.001189,0.041176,0.000320,0.256147,0.000329,0.047091,0.000356,0.104111,0.000403,0.137249,0.001068,0.113045,0.000832,640
conformal_visual_abstention,combined_stress,7,0.619198,0.003008,0.617121,0.004403,0.603217,0.001074,0.112460,0.000943,0.120973,0.001175,0.040972,0.000316,0.256149,0.000324,0.047099,0.000340,0.103970,0.000406,0.137077,0.001065,0.112837,0.000827,640
conformal_visual_abstention,combined_stress,8,0.619146,0.003009,0.616809,0.004393,0.603120,0.001072,0.112642,0.000936,0.121243,0.001177,0.040966,0.000321,0.256178,0.000324,0.047154,0.000345,0.104000,0.000405,0.137178,0.001063,0.112989,0.000828,640
conformal_visual_abstention,combined_stress,9,0.619339,0.003013,0.617170,0.004409,0.603422,0.001070,0.112583,0.000943,0.120919,0.001176,0.041129,0.000311,0.256161,0.000335,0.047081,0.000332,0.104066,0.000414,0.137174,0.001067,0.112972,0.000826,640
conformal_visual_abstention,heldout_camera,0,0.643853,0.002773,0.658156,0.004132,0.612255,0.001070,0.100879,0.000924,0.113430,0.001180,0.039674,0.000321,0.252447,0.000329,0.042996,0.000331,0.100240,0.000409,0.125046,0.001058,0.104127,0.000824,640
conformal_visual_abstention,heldout_camera,1,0.643626,0.002789,0.658134,0.004142,0.612340,0.001049,0.100718,0.000932,0.113262,0.001179,0.039666,0.000314,0.252469,0.000329,0.042984,0.000345,0.100112,0.000404,0.124900,0.001063,0.104006,0.000827,640
conformal_visual_abstention,heldout_camera,2,0.643962,0.002766,0.658251,0.004124,0.612494,0.001080,0.101037,0.000927,0.113268,0.001178,0.039642,0.000329,0.252451,0.000326,0.043178,0.000335,0.100164,0.000405,0.125087,0.001063,0.104181,0.000828,640
