risk_budget,method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,mean_accepted,ci95_accepted,mean_breach,ci95_breach,mean_gated_success,ci95_gated_success,mean_gated_utility,ci95_gated_utility,n
0.050000,cbf_safety_shield,0.612473,0.002302,0.577729,0.003486,0.567612,0.000761,0.132055,0.000880,0.117902,0.000805,0.049370,0.000218,0.256418,0.000253,0.066714,0.000267,0.067196,0.000246,0.131161,0.000818,0.129968,0.000695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,conformal_visual_abstention,0.647849,0.001978,0.664960,0.003032,0.613742,0.000764,0.098867,0.000746,0.112030,0.000801,0.039459,0.000202,0.251779,0.000251,0.042430,0.000266,0.099563,0.000298,0.123077,0.000812,0.102626,0.000621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,ensemble_risk_gate,0.658627,0.002202,0.645694,0.003361,0.584280,0.000759,0.124557,0.000855,0.112906,0.000803,0.046367,0.000214,0.228270,0.000255,0.059720,0.000266,0.061740,0.000257,0.122153,0.000817,0.122269,0.000680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,foundation_policy_only,0.587145,0.004174,0.222456,0.006103,0.208886,0.000763,0.348721,0.001782,0.216613,0.000825,0.112255,0.000294,0.123611,0.000277,0.140598,0.000283,0.002781,0.000106,0.265724,0.001094,0.305456,0.001182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,oracle_visual_servo_foundation_arbiter,0.922261,0.001460,1.143363,0.002103,0.816701,0.000759,0.011438,0.000429,0.043381,0.000796,0.001663,0.000116,0.150126,0.000236,0.008556,0.000249,0.050388,0.000362,0.059864,0.000695,0.017538,0.000420,0.271875,0.021808,0.000000,0.000000,0.256680,0.020598,0.286045,0.026964,1600
0.050000,proposed_servo_foundation_arbiter_v4,0.769498,0.001947,0.852140,0.002932,0.678081,0.000759,0.077008,0.000691,0.080915,0.000804,0.026519,0.000200,0.206639,0.000241,0.040454,0.000262,0.057277,0.000290,0.091498,0.000774,0.077428,0.000593,0.000625,0.001225,0.000000,0.000000,0.000528,0.001035,-0.049353,0.001267,1600
0.050000,robust_mpc_handoff,0.661228,0.002036,0.668902,0.003129,0.616687,0.000757,0.107135,0.000777,0.104007,0.000808,0.039588,0.000210,0.276926,0.000254,0.055737,0.000261,0.070819,0.000278,0.116638,0.000809,0.107300,0.000641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,stability_calibrated_servo_foundation_arbiter_v5,0.823982,0.001693,0.975441,0.002555,0.748638,0.000764,0.043391,0.000583,0.061538,0.000799,0.013507,0.000191,0.186450,0.000244,0.022987,0.000261,0.065128,0.000333,0.074900,0.000772,0.046337,0.000536,0.055000,0.011175,0.000000,0.000000,0.047975,0.009751,0.011212,0.012440,1600
0.100000,cbf_safety_shield,0.612607,0.002294,0.577856,0.003486,0.567699,0.000759,0.132178,0.000889,0.117868,0.000806,0.049328,0.000216,0.256499,0.000252,0.066568,0.000267,0.067139,0.000244,0.131152,0.000818,0.129969,0.000699,0.025000,0.007653,0.015625,0.006079,0.017485,0.005355,-0.030809,0.005878,1600
0.100000,conformal_visual_abstention,0.648030,0.001992,0.665200,0.003044,0.613853,0.000754,0.098837,0.000748,0.112020,0.000801,0.039463,0.000205,0.251843,0.000250,0.042379,0.000264,0.099578,0.000295,0.123037,0.000815,0.102603,0.000622,0.085625,0.013715,0.000000,0.000000,0.060695,0.009726,0.019933,0.011207,1600
