ablation,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
full_stability_calibrated_arbiter_v5,0,0.811280,0.007362,0.948458,0.010024,0.737564,0.002351,0.051036,0.002066,0.067742,0.003212,0.016272,0.000609,0.189646,0.000881,0.026177,0.000778,0.069782,0.001081,0.085717,0.002528,0.053550,0.001765,80
full_stability_calibrated_arbiter_v5,1,0.810094,0.007267,0.947485,0.010001,0.737712,0.002344,0.050920,0.002071,0.067414,0.003363,0.016385,0.000671,0.189420,0.000825,0.026088,0.000859,0.070153,0.001069,0.085283,0.002655,0.053472,0.001877,80
full_stability_calibrated_arbiter_v5,2,0.810494,0.007302,0.947675,0.010065,0.737449,0.002323,0.051154,0.002055,0.067855,0.003259,0.016026,0.000720,0.189053,0.000897,0.026510,0.000948,0.069854,0.001014,0.085574,0.002664,0.053549,0.001885,80
full_stability_calibrated_arbiter_v5,3,0.811024,0.007046,0.948267,0.009780,0.737030,0.002425,0.050958,0.001990,0.067572,0.003318,0.016212,0.000711,0.189163,0.000918,0.026115,0.000926,0.069784,0.001052,0.085338,0.002610,0.053430,0.001831,80
full_stability_calibrated_arbiter_v5,4,0.810597,0.007381,0.948581,0.009866,0.737522,0.002474,0.050497,0.001969,0.067524,0.003303,0.015662,0.000619,0.188993,0.000887,0.026428,0.000835,0.070232,0.001067,0.084757,0.002523,0.052935,0.001746,80
full_stability_calibrated_arbiter_v5,5,0.810395,0.007394,0.948487,0.010223,0.737525,0.002436,0.050304,0.002090,0.067197,0.003322,0.015734,0.000679,0.189738,0.000929,0.026241,0.000867,0.070002,0.001056,0.084874,0.002697,0.052778,0.001890,80
full_stability_calibrated_arbiter_v5,6,0.810193,0.007423,0.947551,0.010090,0.737644,0.002515,0.050810,0.001943,0.068188,0.003435,0.016258,0.000622,0.189485,0.000875,0.025864,0.000934,0.069832,0.001044,0.085437,0.002597,0.053476,0.001802,80
full_stability_calibrated_arbiter_v5,7,0.809455,0.007335,0.947306,0.010153,0.737367,0.002498,0.050438,0.002036,0.067592,0.003492,0.015927,0.000662,0.189423,0.000913,0.026048,0.000884,0.069760,0.001120,0.084865,0.002618,0.053007,0.001861,80
full_stability_calibrated_arbiter_v5,8,0.808104,0.007064,0.945256,0.009859,0.736847,0.002555,0.050878,0.001990,0.067495,0.003345,0.016254,0.000725,0.189374,0.000857,0.026305,0.000919,0.069797,0.001057,0.085138,0.002600,0.053432,0.001856,80
full_stability_calibrated_arbiter_v5,9,0.810088,0.007065,0.947817,0.009907,0.737471,0.002416,0.050427,0.002080,0.067912,0.003397,0.016094,0.000704,0.189153,0.000852,0.026157,0.000930,0.070054,0.001056,0.084925,0.002667,0.053188,0.001904,80
minus_action_critical_error,0,0.775203,0.007195,0.869671,0.010046,0.687746,0.002389,0.073318,0.002070,0.088765,0.003354,0.018812,0.000696,0.189577,0.000941,0.034795,0.000991,0.070125,0.001067,0.099831,0.002667,0.071895,0.001867,80
minus_action_critical_error,1,0.776980,0.007657,0.871993,0.010524,0.687423,0.002455,0.072751,0.002041,0.088427,0.003320,0.018419,0.000779,0.190135,0.000825,0.034672,0.000948,0.069822,0.001027,0.099035,0.002692,0.071298,0.001887,80
minus_action_critical_error,2,0.775768,0.007531,0.870933,0.010392,0.687928,0.002337,0.072680,0.002088,0.088780,0.003275,0.018631,0.000691,0.190199,0.000842,0.034058,0.000847,0.069782,0.001018,0.099114,0.002630,0.071354,0.001871,80
minus_action_critical_error,3,0.774904,0.007575,0.869037,0.010462,0.687406,0.002444,0.073771,0.002095,0.088541,0.003365,0.018568,0.000633,0.190071,0.000880,0.034732,0.000895,0.069979,0.001061,0.099876,0.002598,0.071910,0.001849,80
minus_action_critical_error,4,0.775303,0.007386,0.869841,0.010394,0.686798,0.002378,0.073053,0.002063,0.088262,0.003369,0.018691,0.000723,0.190169,0.000956,0.034444,0.000856,0.069682,0.001007,0.099294,0.002672,0.071524,0.001920,80
minus_action_critical_error,5,0.775032,0.007588,0.869286,0.010586,0.687426,0.002490,0.073246,0.002009,0.088804,0.003357,0.019205,0.000733,0.189504,0.000864,0.034678,0.000940,0.069908,0.001094,0.100068,0.002694,0.072076,0.001910,80
minus_action_critical_error,6,0.773920,0.007515,0.868299,0.010444,0.687349,0.002535,0.073030,0.002050,0.088731,0.003371,0.019060,0.000721,0.190080,0.000867,0.034609,0.000873,0.069980,0.000982,0.099858,0.002622,0.071860,0.001897,80
minus_action_critical_error,7,0.776042,0.007416,0.870282,0.010415,0.687295,0.002426,0.073364,0.002044,0.089132,0.003345,0.018768,0.000722,0.189899,0.000918,0.034395,0.000894,0.070001,0.001056,0.099698,0.002686,0.071900,0.001894,80
minus_action_critical_error,8,0.774622,0.007704,0.869005,0.010572,0.686803,0.002327,0.072914,0.001935,0.088240,0.003330,0.019034,0.000700,0.190046,0.000935,0.034823,0.000921,0.070025,0.001069,0.099599,0.002624,0.071719,0.001808,80
minus_action_critical_error,9,0.775078,0.007710,0.870252,0.010585,0.687308,0.002528,0.072398,0.001981,0.088801,0.003327,0.018469,0.000721,0.189727,0.000879,0.034678,0.000873,0.070005,0.001070,0.099314,0.002621,0.071241,0.001843,80
minus_calibration_guard,0,0.783030,0.007472,0.879602,0.010313,0.707416,0.002209,0.072833,0.002114,0.084252,0.003373,0.018565,0.000725,0.188125,0.000850,0.062441,0.001058,0.069961,0.001011,0.103266,0.002730,0.075502,0.001946,80
minus_calibration_guard,1,0.784042,0.007750,0.879670,0.010728,0.707164,0.002450,0.073692,0.002072,0.084645,0.003226,0.018630,0.000714,0.188315,0.000903,0.062713,0.000886,0.069548,0.001054,0.103890,0.002660,0.076088,0.001897,80
minus_calibration_guard,2,0.783239,0.007837,0.880081,0.010712,0.707142,0.002498,0.072507,0.002015,0.084318,0.003403,0.018224,0.000673,0.188074,0.000901,0.062564,0.000918,0.070246,0.001091,0.103294,0.002669,0.075185,0.001872,80
minus_calibration_guard,3,0.784341,0.007428,0.880779,0.010384,0.708013,0.002364,0.072890,0.002083,0.084626,0.003359,0.018961,0.000732,0.188217,0.000825,0.062299,0.000944,0.069952,0.001065,0.103747,0.002740,0.075816,0.001927,80
minus_calibration_guard,4,0.784486,0.007658,0.880721,0.010472,0.707466,0.002257,0.073333,0.002015,0.084868,0.003428,0.018029,0.000758,0.188270,0.000830,0.062744,0.000885,0.069775,0.001026,0.103457,0.002677,0.075621,0.001890,80
minus_calibration_guard,5,0.783242,0.007329,0.879533,0.010301,0.707345,0.002374,0.073071,0.001989,0.084573,0.003381,0.018617,0.000710,0.187871,0.000871,0.062474,0.000861,0.070094,0.001057,0.103565,0.002619,0.075723,0.001901,80
minus_calibration_guard,6,0.783946,0.007638,0.880559,0.010513,0.707247,0.002469,0.072695,0.001984,0.084868,0.003394,0.018307,0.000725,0.187923,0.000870,0.062433,0.000987,0.070090,0.001074,0.103260,0.002614,0.075420,0.001867,80
minus_calibration_guard,7,0.782080,0.007595,0.878426,0.010408,0.706711,0.002397,0.072567,0.002050,0.084636,0.003336,0.018729,0.000685,0.187847,0.000863,0.062600,0.000898,0.070088,0.001064,0.103338,0.002652,0.075583,0.001895,80
minus_calibration_guard,8,0.782718,0.007223,0.879310,0.010113,0.707599,0.002361,0.072994,0.002184,0.084356,0.003238,0.018452,0.000775,0.187571,0.000931,0.062705,0.000913,0.069984,0.001049,0.103540,0.002775,0.075584,0.001972,80
minus_calibration_guard,9,0.781444,0.007751,0.877804,0.010568,0.707298,0.002262,0.072978,0.002120,0.084720,0.003303,0.018365,0.000663,0.187792,0.000769,0.062799,0.000947,0.070258,0.001088,0.103358,0.002631,0.075624,0.001883,80
minus_fixed_risk_screen,0,0.783410,0.007711,0.876511,0.010594,0.713426,0.002536,0.086956,0.002159,0.084833,0.003251,0.019306,0.000692,0.186219,0.000881,0.041079,0.001011,0.070356,0.001046,0.106950,0.002638,0.078994,0.001876,80
minus_fixed_risk_screen,1,0.785039,0.007228,0.878565,0.010023,0.713770,0.002313,0.086842,0.002123,0.085083,0.003281,0.019062,0.000742,0.185946,0.000785,0.040642,0.000881,0.070229,0.001105,0.106824,0.002666,0.078774,0.001919,80
minus_fixed_risk_screen,2,0.780841,0.007790,0.874115,0.010776,0.713338,0.002458,0.086576,0.002068,0.085173,0.003324,0.019522,0.000775,0.186144,0.000852,0.040655,0.000913,0.070143,0.001102,0.106830,0.002720,0.078935,0.001952,80
minus_fixed_risk_screen,3,0.782887,0.007139,0.876317,0.010159,0.713319,0.002458,0.086713,0.002102,0.085095,0.003429,0.018924,0.000712,0.186193,0.000853,0.040979,0.000966,0.069836,0.001081,0.106579,0.002710,0.078696,0.001955,80
minus_fixed_risk_screen,4,0.784112,0.007561,0.877605,0.010499,0.713476,0.002406,0.086612,0.002023,0.084732,0.003397,0.019336,0.000697,0.186058,0.000828,0.040850,0.000961,0.070012,0.001041,0.106717,0.002657,0.078783,0.001908,80
minus_fixed_risk_screen,5,0.781476,0.007789,0.875166,0.010617,0.713957,0.002273,0.086019,0.001985,0.084990,0.003351,0.019811,0.000715,0.186025,0.000864,0.041254,0.000901,0.069951,0.001052,0.106699,0.002646,0.078903,0.001856,80
minus_fixed_risk_screen,6,0.783452,0.007319,0.876884,0.010055,0.713505,0.002379,0.086797,0.002045,0.085194,0.003313,0.019224,0.000630,0.185322,0.000846,0.040869,0.000932,0.070087,0.001030,0.106812,0.002596,0.078912,0.001830,80
minus_fixed_risk_screen,7,0.782308,0.007638,0.876050,0.010487,0.714596,0.002269,0.086855,0.002033,0.085033,0.003239,0.019239,0.000747,0.185762,0.000913,0.040812,0.000962,0.069803,0.000991,0.106711,0.002643,0.078902,0.001885,80
minus_fixed_risk_screen,8,0.784380,0.007570,0.878109,0.010544,0.713321,0.002484,0.086345,0.002074,0.084792,0.003272,0.019299,0.000749,0.185560,0.000877,0.040956,0.000922,0.069777,0.001072,0.106787,0.002694,0.078665,0.001905,80
minus_fixed_risk_screen,9,0.783441,0.007314,0.876957,0.010255,0.713269,0.002402,0.086498,0.001952,0.085181,0.003389,0.018714,0.000663,0.186265,0.000926,0.041441,0.000950,0.070099,0.001090,0.106645,0.002639,0.078573,0.001839,80
minus_foundation_action_risk,0,0.783848,0.007355,0.876608,0.010220,0.705930,0.002521,0.085947,0.001964,0.082795,0.003314,0.019660,0.000714,0.185929,0.000815,0.036982,0.000905,0.069795,0.001071,0.105393,0.002569,0.077529,0.001815,80
minus_foundation_action_risk,1,0.784543,0.007123,0.876906,0.009922,0.705212,0.002428,0.086168,0.002057,0.083585,0.003379,0.019205,0.000633,0.185807,0.000977,0.037017,0.000896,0.070143,0.001033,0.105169,0.002615,0.077551,0.001807,80
minus_foundation_action_risk,2,0.785372,0.007497,0.877968,0.010237,0.704969,0.002447,0.086248,0.001902,0.083002,0.003272,0.018985,0.000716,0.185880,0.000826,0.036574,0.000921,0.070063,0.001087,0.105268,0.002617,0.077254,0.001794,80
minus_foundation_action_risk,3,0.784809,0.007310,0.877631,0.010041,0.705440,0.002491,0.085910,0.001922,0.083074,0.003336,0.019285,0.000659,0.185875,0.000834,0.036610,0.000939,0.070069,0.001051,0.105130,0.002558,0.077288,0.001780,80
minus_foundation_action_risk,4,0.785915,0.007184,0.878989,0.009992,0.705666,0.002409,0.085378,0.002072,0.083310,0.003389,0.019454,0.000700,0.185679,0.000807,0.037059,0.001001,0.069982,0.001042,0.105248,0.002673,0.077264,0.001891,80
minus_foundation_action_risk,5,0.784809,0.007553,0.877717,0.010439,0.705002,0.002488,0.085936,0.002105,0.082915,0.003367,0.018786,0.000698,0.185783,0.000876,0.036887,0.000947,0.070107,0.001070,0.104967,0.002695,0.077026,0.001902,80
minus_foundation_action_risk,6,0.784938,0.007851,0.877398,0.010748,0.705339,0.002332,0.086351,0.002054,0.083050,0.003471,0.019141,0.000672,0.185774,0.000862,0.037122,0.000876,0.069743,0.001068,0.105404,0.002660,0.077503,0.001905,80
minus_foundation_action_risk,7,0.785548,0.007214,0.878224,0.010111,0.704877,0.002402,0.086001,0.002004,0.082767,0.003342,0.019152,0.000717,0.185814,0.000918,0.036891,0.000967,0.069852,0.001068,0.104799,0.002665,0.077238,0.001876,80
minus_foundation_action_risk,8,0.785606,0.007380,0.878107,0.010357,0.705102,0.002426,0.086061,0.002084,0.083115,0.003379,0.019323,0.000776,0.185723,0.000889,0.037016,0.000917,0.069995,0.001027,0.105325,0.002707,0.077465,0.001954,80
minus_foundation_action_risk,9,0.784550,0.006845,0.877343,0.009663,0.704904,0.002328,0.085724,0.002025,0.083498,0.003300,0.019137,0.000689,0.185494,0.000894,0.036675,0.000955,0.070123,0.001059,0.105454,0.002616,0.077218,0.001825,80
minus_jacobian_margin,0,0.778942,0.007444,0.884806,0.010537,0.697856,0.002436,0.062303,0.002095,0.094270,0.003354,0.017915,0.000766,0.188108,0.000973,0.032394,0.000876,0.069918,0.001022,0.094852,0.002668,0.066867,0.001953,80
minus_jacobian_margin,1,0.778733,0.007607,0.884206,0.010569,0.697539,0.002363,0.062728,0.002149,0.093725,0.003401,0.017941,0.000775,0.188217,0.000890,0.032743,0.000871,0.069953,0.001092,0.094984,0.002736,0.067029,0.001969,80
minus_jacobian_margin,2,0.778142,0.007434,0.882882,0.010400,0.697961,0.002417,0.063765,0.002041,0.094114,0.003368,0.018353,0.000654,0.187753,0.000949,0.032235,0.000872,0.069981,0.001043,0.095765,0.002651,0.067759,0.001888,80
minus_jacobian_margin,3,0.777860,0.007481,0.882903,0.010301,0.697933,0.002385,0.062978,0.002031,0.094360,0.003262,0.018425,0.000636,0.188011,0.000857,0.032734,0.000928,0.069860,0.001045,0.095246,0.002565,0.067567,0.001799,80
minus_jacobian_margin,4,0.777263,0.007363,0.881198,0.010361,0.696498,0.002538,0.063585,0.002068,0.094624,0.003401,0.018500,0.000681,0.188095,0.000864,0.032844,0.000865,0.070090,0.001078,0.095848,0.002609,0.067980,0.001917,80
minus_jacobian_margin,5,0.777114,0.007258,0.882136,0.009945,0.697701,0.002382,0.063293,0.002110,0.094265,0.003337,0.018022,0.000643,0.187831,0.000899,0.032609,0.001006,0.070026,0.001061,0.095361,0.002643,0.067442,0.001883,80
minus_jacobian_margin,6,0.778316,0.007562,0.883342,0.010448,0.697170,0.002430,0.062698,0.001964,0.094316,0.003294,0.018536,0.000703,0.187646,0.000875,0.032595,0.000970,0.070272,0.001077,0.095342,0.002697,0.067462,0.001880,80
minus_jacobian_margin,7,0.778124,0.007575,0.883120,0.010579,0.697251,0.002466,0.062699,0.002199,0.094351,0.003344,0.018344,0.000708,0.188151,0.000899,0.032842,0.001010,0.070039,0.001070,0.095243,0.002762,0.067404,0.001976,80
minus_jacobian_margin,8,0.779984,0.007553,0.885120,0.010379,0.697505,0.002332,0.063014,0.002017,0.094131,0.003369,0.018134,0.000680,0.188185,0.000888,0.032313,0.000872,0.070110,0.001008,0.095061,0.002607,0.067289,0.001865,80
minus_jacobian_margin,9,0.777751,0.007546,0.882437,0.010482,0.696998,0.002457,0.063043,0.002114,0.094081,0.003332,0.018572,0.000652,0.187960,0.000901,0.032650,0.000948,0.070226,0.001013,0.095426,0.002665,0.067607,0.001883,80
minus_latency_penalty,0,0.781286,0.007583,0.880779,0.010434,0.712824,0.002355,0.060413,0.002064,0.085670,0.003402,0.017789,0.000630,0.265082,0.000985,0.032115,0.000934,0.069992,0.001128,0.091793,0.002670,0.063944,0.001861,80
minus_latency_penalty,1,0.781642,0.007249,0.880073,0.009969,0.712444,0.002319,0.061197,0.001979,0.085971,0.003252,0.018055,0.000654,0.264741,0.000813,0.032904,0.000842,0.070156,0.001114,0.092624,0.002514,0.064683,0.001790,80
minus_latency_penalty,2,0.782929,0.007670,0.881894,0.010552,0.712473,0.002399,0.060489,0.001947,0.086126,0.003393,0.018115,0.000678,0.264922,0.000853,0.032420,0.000912,0.070230,0.001032,0.092277,0.002664,0.064325,0.001844,80
minus_latency_penalty,3,0.782112,0.007580,0.880256,0.010472,0.713056,0.002400,0.061546,0.002030,0.086228,0.003374,0.018425,0.000641,0.265276,0.000928,0.032442,0.000918,0.069756,0.001025,0.092999,0.002596,0.065038,0.001861,80
minus_latency_penalty,4,0.783046,0.007081,0.881670,0.009876,0.712097,0.002261,0.061002,0.002091,0.085728,0.003263,0.018023,0.000695,0.264965,0.000901,0.032395,0.000932,0.070054,0.001039,0.092111,0.002655,0.064426,0.001834,80
minus_latency_penalty,5,0.783448,0.007696,0.882040,0.010593,0.711842,0.002277,0.061014,0.002079,0.085721,0.003306,0.017912,0.000752,0.264778,0.000848,0.032515,0.000939,0.070139,0.001080,0.092219,0.002612,0.064387,0.001910,80
minus_latency_penalty,6,0.782969,0.007403,0.881830,0.010251,0.712505,0.002510,0.060707,0.002058,0.086099,0.003289,0.018187,0.000755,0.264726,0.000928,0.032315,0.000855,0.070027,0.001060,0.092192,0.002683,0.064447,0.001903,80
minus_latency_penalty,7,0.782821,0.007269,0.881674,0.010125,0.712471,0.002415,0.061057,0.002177,0.085961,0.003298,0.017591,0.000700,0.264984,0.000844,0.032427,0.000944,0.070140,0.001024,0.092132,0.002701,0.064259,0.001895,80
minus_latency_penalty,8,0.783577,0.007453,0.882612,0.010338,0.712217,0.002383,0.060422,0.002136,0.085993,0.003259,0.018034,0.000647,0.264647,0.000940,0.032560,0.001035,0.070124,0.001009,0.092045,0.002687,0.064242,0.001883,80
minus_latency_penalty,9,0.781499,0.007377,0.880479,0.010307,0.712379,0.002406,0.060522,0.002106,0.086238,0.003317,0.017851,0.000607,0.264683,0.000862,0.032823,0.001034,0.069986,0.001049,0.092490,0.002704,0.064285,0.001915,80
servo_only_preference,0,0.749588,0.007622,0.832111,0.010574,0.677563,0.002253,0.070572,0.002102,0.098291,0.003387,0.019590,0.000659,0.219926,0.000988,0.040560,0.000986,0.069952,0.001033,0.101826,0.002722,0.074162,0.001922,80
servo_only_preference,1,0.748478,0.007528,0.831198,0.010469,0.677588,0.002334,0.070035,0.001977,0.098455,0.003405,0.019632,0.000662,0.220594,0.000838,0.040558,0.000924,0.070091,0.001021,0.101992,0.002577,0.073964,0.001849,80
servo_only_preference,2,0.748877,0.007875,0.830916,0.010660,0.677322,0.002415,0.070835,0.001989,0.098445,0.003272,0.019866,0.000747,0.219806,0.000865,0.040702,0.000877,0.070127,0.001049,0.102277,0.002551,0.074507,0.001837,80
servo_only_preference,3,0.748089,0.007583,0.830408,0.010509,0.677130,0.002525,0.070798,0.002048,0.098423,0.003295,0.019207,0.000700,0.220230,0.000896,0.040496,0.000957,0.070055,0.001088,0.102016,0.002664,0.074066,0.001860,80
servo_only_preference,4,0.746986,0.007702,0.829710,0.010636,0.677701,0.002375,0.070695,0.002004,0.098154,0.003269,0.019084,0.000656,0.220133,0.000874,0.040630,0.000906,0.069932,0.001036,0.101724,0.002624,0.073909,0.001842,80
servo_only_preference,5,0.748992,0.007329,0.831281,0.010241,0.677195,0.002299,0.070498,0.001982,0.098628,0.003329,0.019502,0.000751,0.220574,0.000925,0.040437,0.000930,0.070193,0.001117,0.102158,0.002600,0.074127,0.001851,80
servo_only_preference,6,0.747735,0.007621,0.830367,0.010509,0.677952,0.002415,0.070595,0.002052,0.098176,0.003340,0.019739,0.000734,0.220139,0.000905,0.040281,0.000937,0.069706,0.001083,0.102066,0.002661,0.074184,0.001903,80
servo_only_preference,7,0.747703,0.008141,0.829712,0.011069,0.676746,0.002351,0.070953,0.002067,0.098095,0.003321,0.019289,0.000789,0.220259,0.000872,0.040958,0.000944,0.070028,0.001095,0.102237,0.002701,0.074198,0.001913,80
servo_only_preference,8,0.751766,0.008130,0.834472,0.011136,0.677649,0.002537,0.070619,0.002104,0.097980,0.003307,0.019477,0.000760,0.220339,0.000911,0.040101,0.000938,0.069706,0.001092,0.101816,0.002698,0.073968,0.001902,80
servo_only_preference,9,0.747628,0.007354,0.830058,0.010246,0.677438,0.002375,0.070586,0.002076,0.098526,0.003361,0.019284,0.000772,0.220508,0.000944,0.040613,0.000870,0.070039,0.001086,0.101995,0.002711,0.074052,0.001917,80
uncertainty_only_gate,0,0.752965,0.007333,0.812249,0.010279,0.667249,0.002245,0.094887,0.002095,0.102799,0.003456,0.021175,0.000747,0.210346,0.000865,0.047046,0.000956,0.070168,0.001062,0.116783,0.002746,0.088911,0.001943,80
uncertainty_only_gate,1,0.752781,0.007900,0.812364,0.010769,0.667956,0.002370,0.095002,0.002037,0.103148,0.003360,0.020761,0.000692,0.210231,0.000818,0.047070,0.000935,0.070010,0.001042,0.116931,0.002665,0.088807,0.001866,80
uncertainty_only_gate,2,0.751900,0.007677,0.811979,0.010633,0.667227,0.002379,0.094140,0.002167,0.103060,0.003321,0.020783,0.000591,0.210347,0.000865,0.046651,0.000951,0.069734,0.001033,0.116350,0.002693,0.088312,0.001868,80
uncertainty_only_gate,3,0.750971,0.007731,0.810427,0.010677,0.667167,0.002414,0.094890,0.002181,0.103103,0.003327,0.020844,0.000713,0.210196,0.000877,0.046796,0.000937,0.069726,0.001025,0.116585,0.002724,0.088743,0.001950,80
uncertainty_only_gate,4,0.752809,0.007890,0.812147,0.010698,0.667338,0.002468,0.094835,0.002032,0.103261,0.003244,0.021045,0.000659,0.210338,0.000826,0.046862,0.000917,0.070132,0.001051,0.116624,0.002599,0.088879,0.001806,80
uncertainty_only_gate,5,0.753122,0.007611,0.812129,0.010668,0.667414,0.002412,0.095047,0.002131,0.103588,0.003331,0.021082,0.000657,0.210272,0.000880,0.047275,0.000986,0.070185,0.001131,0.116948,0.002733,0.089149,0.001935,80
uncertainty_only_gate,6,0.750420,0.007938,0.809949,0.010800,0.666685,0.002241,0.094729,0.002133,0.103269,0.003285,0.020531,0.000748,0.210013,0.000892,0.046909,0.000867,0.069875,0.001041,0.116388,0.002697,0.088541,0.001923,80
uncertainty_only_gate,7,0.751952,0.007803,0.811319,0.010704,0.667682,0.002250,0.095126,0.002083,0.103225,0.003256,0.020731,0.000697,0.210190,0.000863,0.047211,0.000914,0.069997,0.001083,0.116755,0.002708,0.088892,0.001867,80
uncertainty_only_gate,8,0.750235,0.007650,0.809477,0.010496,0.666746,0.002385,0.094801,0.002031,0.103099,0.003241,0.020804,0.000732,0.210293,0.000770,0.047244,0.000950,0.070270,0.001055,0.116805,0.002620,0.088757,0.001833,80
uncertainty_only_gate,9,0.752974,0.008058,0.812089,0.011024,0.667222,0.002379,0.094867,0.002026,0.103317,0.003426,0.021399,0.000710,0.210200,0.000965,0.046860,0.000905,0.069944,0.001100,0.116971,0.002664,0.089112,0.001894,80
