ablation,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
foundation_only_preference,0,0.735427,0.007910,0.773191,0.010917,0.644049,0.002490,0.111058,0.002085,0.119563,0.003355,0.023009,0.000736,0.180612,0.000970,0.055227,0.000925,0.070172,0.001093,0.130750,0.002719,0.102898,0.001947,80
foundation_only_preference,1,0.736746,0.008067,0.774108,0.011047,0.644226,0.002527,0.111840,0.002068,0.119630,0.003209,0.022907,0.000723,0.180398,0.000850,0.055102,0.000841,0.070026,0.001107,0.130982,0.002657,0.103206,0.001887,80
foundation_only_preference,2,0.734954,0.007800,0.773664,0.010835,0.643732,0.002315,0.110189,0.002111,0.119467,0.003295,0.022322,0.000717,0.180397,0.000896,0.055297,0.000860,0.070172,0.001113,0.129970,0.002675,0.102074,0.001920,80
foundation_only_preference,3,0.735822,0.008128,0.773532,0.011115,0.643266,0.002497,0.111108,0.002125,0.119762,0.003421,0.022634,0.000794,0.180474,0.000959,0.054916,0.000915,0.070058,0.001058,0.130644,0.002716,0.102692,0.001898,80
foundation_only_preference,4,0.736613,0.007644,0.774022,0.010763,0.642901,0.002498,0.111035,0.002038,0.120446,0.003265,0.022696,0.000792,0.180602,0.000888,0.054904,0.000946,0.069787,0.001111,0.130592,0.002631,0.102841,0.001927,80
foundation_only_preference,5,0.735534,0.007951,0.773400,0.010898,0.643822,0.002306,0.111181,0.002070,0.119473,0.003286,0.022587,0.000724,0.180539,0.000816,0.055212,0.000945,0.070055,0.001050,0.130605,0.002671,0.102690,0.001894,80
foundation_only_preference,6,0.735943,0.007846,0.773985,0.010830,0.642896,0.002469,0.110557,0.002113,0.119860,0.003290,0.022261,0.000708,0.180508,0.000829,0.055375,0.000922,0.070041,0.001017,0.130210,0.002697,0.102315,0.001913,80
foundation_only_preference,7,0.734033,0.008034,0.771461,0.011074,0.643426,0.002523,0.111155,0.002040,0.120137,0.003345,0.022971,0.000735,0.180470,0.000881,0.055101,0.000976,0.069683,0.001111,0.131023,0.002727,0.103026,0.001939,80
foundation_only_preference,8,0.734146,0.008054,0.771521,0.011141,0.643338,0.002408,0.111143,0.002213,0.119779,0.003216,0.022874,0.000724,0.180994,0.000901,0.055323,0.000952,0.070083,0.001018,0.130667,0.002688,0.102925,0.001949,80
foundation_only_preference,9,0.735479,0.008250,0.772701,0.011197,0.643346,0.002376,0.111037,0.002074,0.120590,0.003243,0.022873,0.000762,0.180790,0.000816,0.055530,0.000821,0.070062,0.001026,0.130913,0.002661,0.103089,0.001904,80
