method,task,regime,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,cable_tip_alignment,camera_extrinsic_drift,clean_deployment,0.620972,0.001444,0.608493,0.001609,0.583334,0.000531,0.111436,0.000444,0.125681,0.000391,0.047054,0.000318,0.251751,0.000313,0.060895,0.000309,0.062108,0.000217,0.117740,0.000408,0.119392,0.000332,160
cbf_safety_shield,cable_tip_alignment,camera_extrinsic_drift,combined_stress,0.563990,0.001398,0.513056,0.001487,0.564194,0.000526,0.140514,0.000462,0.142510,0.000357,0.050176,0.000334,0.259704,0.000344,0.069749,0.000318,0.068397,0.000213,0.143083,0.000354,0.140456,0.000329,160
cbf_safety_shield,cable_tip_alignment,camera_extrinsic_drift,heldout_camera,0.592297,0.001328,0.559644,0.001423,0.573432,0.000553,0.127115,0.000440,0.134393,0.000368,0.048328,0.000320,0.255826,0.000330,0.065442,0.000321,0.065391,0.000214,0.130998,0.000365,0.130391,0.000329,160
cbf_safety_shield,cable_tip_alignment,camera_extrinsic_drift,heldout_object,0.606701,0.001370,0.583834,0.001419,0.578081,0.000539,0.119349,0.000439,0.130390,0.000343,0.047728,0.000309,0.253809,0.000314,0.063237,0.000317,0.063825,0.000226,0.124542,0.000368,0.125038,0.000315,160
cbf_safety_shield,cable_tip_alignment,compound_visual_geometry_shift,clean_deployment,0.561186,0.001429,0.500913,0.001472,0.552552,0.000530,0.144078,0.000457,0.142203,0.000355,0.055561,0.000333,0.259338,0.000305,0.069295,0.000307,0.071932,0.000227,0.147804,0.000381,0.145141,0.000328,160
cbf_safety_shield,cable_tip_alignment,compound_visual_geometry_shift,combined_stress,0.475848,0.001481,0.376498,0.001524,0.533065,0.000545,0.173291,0.000449,0.158539,0.000346,0.059443,0.000324,0.268029,0.000316,0.078132,0.000309,0.078302,0.000226,0.173484,0.000376,0.166599,0.000311,160
cbf_safety_shield,cable_tip_alignment,compound_visual_geometry_shift,heldout_camera,0.515826,0.001402,0.435267,0.001489,0.542132,0.000531,0.159096,0.000462,0.150616,0.000357,0.057428,0.000329,0.263969,0.000315,0.074210,0.000312,0.075240,0.000224,0.160963,0.000389,0.156168,0.000335,160
cbf_safety_shield,cable_tip_alignment,compound_visual_geometry_shift,heldout_object,0.539369,0.001358,0.468507,0.001410,0.547196,0.000579,0.152030,0.000427,0.146421,0.000355,0.056466,0.000323,0.261866,0.000303,0.071913,0.000302,0.073564,0.000210,0.154704,0.000340,0.150881,0.000301,160
cbf_safety_shield,cable_tip_alignment,depth_scale_error,clean_deployment,0.615091,0.001389,0.597684,0.001484,0.579846,0.000534,0.114537,0.000442,0.127798,0.000358,0.047655,0.000319,0.252883,0.000333,0.062017,0.000334,0.062872,0.000230,0.120836,0.000352,0.121896,0.000322,160
cbf_safety_shield,cable_tip_alignment,depth_scale_error,combined_stress,0.557019,0.001376,0.500969,0.001421,0.561117,0.000533,0.144297,0.000421,0.144478,0.000371,0.050602,0.000315,0.260838,0.000320,0.070659,0.000323,0.069285,0.000219,0.146293,0.000338,0.143116,0.000315,160
